,liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,iteration,liquid_level,density,time,m,%error,time_asp_1000,acq_value
0,BPAEDMA,rLine1000,1000,113.29,113.29,10,10,1,40.26293757452866,1.12,76.29651618003845,0.9727549582639521,-13.14687872643286,37.65380880925059,
1,BPAEDMA,rLine1000,500,113.29,113.29,10,10,1,39.3171923120381,1.12,67.882333278656,0.5296173469947104,-5.425473750944578,37.65380880925059,
2,BPAEDMA,rLine1000,300,113.29,113.29,10,10,1,38.766429113668565,1.12,64.14699006080627,0.30842739108694084,-8.206133605077154,37.65380880925059,
3,BPAEDMA,rLine1000,"mean[1000, 500, 300]",113.29,113.29,10,10,1,38.766429113668565,1.12,NaN,NaN,-8.926162027484864,37.65380880925059,
4,BPAEDMA,rLine1000,1000,141.6125,141.6125,10,10,2,37.3900805455694,1.12,72.97937798500061,0.7707551981355325,-31.182571595041747,34.123047047400476,
5,BPAEDMA,rLine1000,500,141.6125,141.6125,10,10,2,36.45698095390643,1.12,66.18964552879333,0.5225357713312601,-6.69004083370357,34.123047047400476,
6,BPAEDMA,rLine1000,300,141.6125,141.6125,10,10,2,35.88891452282013,1.12,63.147305727005005,0.3181172014083286,-5.322261485616508,34.123047047400476,
7,BPAEDMA,rLine1000,"mean[1000, 500, 300]",141.6125,141.6125,10,10,2,35.88891452282013,1.12,NaN,NaN,-14.398291304787273,34.123047047400476,
8,BPAEDMA,rLine1000,1000,141.6125,11.329,10,10,3,34.04964593477518,1.12,154.31439900398254,1.0299904093051724,-8.036570597752474,115.33056756995322,
9,BPAEDMA,rLine1000,500,141.6125,11.329,10,10,3,33.111628582234815,1.12,106.86111640930176,0.5252897174226018,-6.198264745963977,115.33056756995322,
10,BPAEDMA,rLine1000,300,141.6125,11.329,10,10,3,32.556546080660794,1.12,87.7855224609375,0.3108462008814525,-7.486249737662974,115.33056756995322,
11,BPAEDMA,rLine1000,"mean[1000, 500, 300]",141.6125,11.329,10,10,3,32.556546080660794,1.12,NaN,NaN,-7.240361693793141,115.33056756995322,
12,BPAEDMA,rLine1000,1000,11.329,141.6125,10,10,4,31.191151889965777,1.12,154.57482051849365,0.7646207467892102,-31.730290465249094,115.33056756995322,
13,BPAEDMA,rLine1000,500,11.329,141.6125,10,10,4,30.22976866828308,1.12,106.89319252967834,0.5383746041423104,-3.861677831730291,115.33056756995322,
14,BPAEDMA,rLine1000,300,11.329,141.6125,10,10,4,29.662378754566156,1.12,87.91735124588013,0.3177383516814773,-5.435014380512733,115.33056756995322,
15,BPAEDMA,rLine1000,"mean[1000, 500, 300]",11.329,141.6125,10,10,4,29.662378754566156,1.12,NaN,NaN,-13.675660892497374,115.33056756995322,
16,BPAEDMA,rLine1000,1000,11.329,11.329,10,10,5,27.769561214745114,1.12,236.22877430915833,1.0599778222997829,-5.359123008947966,196.53808809250594,
17,BPAEDMA,rLine1000,500,11.329,11.329,10,10,5,26.800189884124002,1.12,147.8695101737976,0.5428479451478234,-3.0628669378886846,196.53808809250594,
18,BPAEDMA,rLine1000,300,11.329,11.329,10,10,5,26.2177084290902,1.12,112.42981386184692,0.3261896148189284,-2.9197574943665745,196.53808809250594,
19,BPAEDMA,rLine1000,"mean[1000, 500, 300]",11.329,11.329,10,10,5,26.2177084290902,1.12,NaN,NaN,-3.780582480401075,196.53808809250594,
20,BPAEDMA,rLine1000,1000,110.09451249446721,65.29010885032594,10,10,6,37.39064323794802,1.12,83.33176159858704,0.9012397867491081,-19.53216189740107,44.3993605183292,54.66385131701756
21,BPAEDMA,rLine1000,500,110.09451249446721,65.29010885032594,10,10,6,36.47299946618544,1.12,71.01535272598267,0.513880512187043,-8.235622823742329,44.3993605183292,54.66385131701756
22,BPAEDMA,rLine1000,300,110.09451249446721,65.29010885032594,10,10,6,35.900743831388766,1.12,66.27455163002014,0.3204631554861382,-4.624060867220801,44.3993605183292,54.66385131701756
23,BPAEDMA,rLine1000,"mean[1000, 500, 300]",110.09451249446721,65.29010885032594,10,10,6,35.900743831388766,1.12,NaN,NaN,-10.797281862788067,44.3993605183292,54.66385131701756
24,BPAEDMA,rLine1000,1000,69.00164775685221,22.547120737130754,10,10,7,34.10989827505193,1.12,117.8828239440918,1.0028735115486267,-10.45772218315834,78.84396850361583,28.47118102946095
25,BPAEDMA,rLine1000,500,69.00164775685221,22.547120737130754,10,10,7,33.174066594012636,1.12,88.5849723815918,0.5240657413820053,-6.416831896070482,78.84396850361583,28.47118102946095
26,BPAEDMA,rLine1000,300,69.00164775685221,22.547120737130754,10,10,7,32.599495188220786,1.12,76.83566737174988,0.3217599872434367,-4.238099034691485,78.84396850361583,28.47118102946095
27,BPAEDMA,rLine1000,"mean[1000, 500, 300]",69.00164775685221,22.547120737130754,10,10,7,32.599495188220786,1.12,NaN,NaN,-7.0375510379734365,78.84396850361583,28.47118102946095
28,BPAEDMA,rLine1000,1000,40.89641711039702,36.2080681165671,10,10,8,30.895764253140683,1.12,111.26698350906372,0.9540893236448577,-14.81345324599486,72.07017374168629,19.346580529637574
29,BPAEDMA,rLine1000,500,40.89641711039702,36.2080681165671,10,10,8,29.949134314090173,1.12,85.3171157836914,0.530112765868285,-5.337006094949109,72.07017374168629,19.346580529637574
30,BPAEDMA,rLine1000,300,40.89641711039702,36.2080681165671,10,10,8,29.39189216091391,1.12,75.0026605129242,0.31205560577870844,-7.126307803955842,72.07017374168629,19.346580529637574
