lin,gpr,poly,SVR_linear,SVR_rbf,SVR_sigmoid,SVR_poly,SGD_l2-l1,SGD_elasticnet,KNR,DTR,KR_most,KR_polynomial,KR_sigmoid,PLSR,RFR,liquid
1.802026384,1.802026384,2.169945335,"SVR(C=21, kernel='linear') -1.6071112540674688","SVR(C=21, epsilon=0.7000000000000001, gamma='auto') -1.5687902069498536","SVR(C=21, coef0=1, epsilon=1.0, gamma='auto', kernel='sigmoid') -1.688536820982568","SVR(C=101, coef0=11, epsilon=0.30000000000000004, kernel='poly') -1.1358528756851805","SGDRegressor(penalty='l1', power_t=0.5, random_state=42) -1.8022960629024274","SGDRegressor(l1_ratio=1.0, penalty='elasticnet', power_t=0.5, random_state=42) -1.8022960629024274","KNeighborsRegressor(leaf_size=21, n_neighbors=8, p=10, weights='distance') -1.6923956207608173","DecisionTreeRegressor(criterion='friedman_mse', random_state=42,
                      splitter='random') -2.006640890055556","KernelRidge(alpha=1.1, kernel='poly') -1.7381671890235566","KernelRidge(alpha=0.1, degree=2, kernel='polynomial') -1.6741525251975093","KernelRidge(alpha=1.1, degree=1, kernel='sigmoid') -2.0641602398516703",PLSRegression(n_components=1) -1.9323657346704544,"RandomForestRegressor(criterion='friedman_mse', random_state=42) -1.8411878376824147",Viscosity_std_1275
2.333026558,2.333026558,3.295157422,"SVR(C=41, epsilon=1.0, kernel='linear') -2.199631489507964","SVR(C=11, epsilon=0.30000000000000004, gamma='auto') -2.181193449886693","SVR(C=1, coef0=0, kernel='sigmoid') -2.067842283668659","SVR(C=101, coef0=11, epsilon=0.8, kernel='poly') -1.918800784816343","SGDRegressor(alpha=0.001, penalty='l1', power_t=0.5, random_state=42) -2.2032086892135934","SGDRegressor(alpha=0.001, l1_ratio=1.0, penalty='elasticnet', power_t=0.5,
             random_state=42) -2.2032086892135934","KNeighborsRegressor(algorithm='brute', leaf_size=1, n_neighbors=6) -2.062440588113637","DecisionTreeRegressor(criterion='friedman_mse', random_state=42) -2.5767338856787876","KernelRidge(alpha=1.1, kernel='poly') -2.132603165044583","KernelRidge(alpha=10.1, coef0=11, kernel='polynomial') -2.1296462399492526","KernelRidge(alpha=4.1, coef0=0, degree=1, kernel='sigmoid') -2.213702024494808",PLSRegression(n_components=1) -2.3488561166391175,"RandomForestRegressor(criterion='friedman_mse', random_state=42) -2.462102698284107",Viscosity_std_204
0.606443873,0.606443873,0.80126973,"SVR(C=1, epsilon=1.0, kernel='linear') -0.5829471242502539","SVR(C=41, gamma='auto') -0.422697798154742","SVR(C=31, coef0=1, kernel='sigmoid') -0.2932932117360854","SVR(C=1, coef0=1, degree=2, gamma='auto', kernel='poly') -0.3962340483819912",SGDRegressor(random_state=42) -0.4075445545929656,"SGDRegressor(l1_ratio=0.0, penalty='elasticnet', random_state=42) -0.4075445545929656","KNeighborsRegressor(leaf_size=11, n_neighbors=1, p=1) -0.38862652499021105","DecisionTreeRegressor(criterion='friedman_mse', random_state=42) -0.5162009707463487","KernelRidge(alpha=2.1, kernel='poly') -0.4417094464758759","KernelRidge(alpha=10.1, coef0=11, degree=2, kernel='polynomial') -0.40998865754983616","KernelRidge(alpha=0.1, degree=1, kernel='sigmoid') -0.4186745090573938",PLSRegression(n_components=1) -0.6327198576906522,"RandomForestRegressor(criterion='friedman_mse', random_state=42) -0.5311106515956285",Viscosity_std_28
1.217456268,1.217456268,1.177638367,"SVR(C=1, epsilon=0.5, kernel='linear') -1.1197988733175044","SVR(C=1, gamma='auto') -1.1293531289310654","SVR(C=1, coef0=0, kernel='sigmoid') -0.8989825273921994","SVR(C=1, coef0=1, degree=1, kernel='poly') -1.0620611214308833","SGDRegressor(alpha=0.001, random_state=42) -1.1249223031534141","SGDRegressor(alpha=0.001, l1_ratio=0.0, penalty='elasticnet', random_state=42) -1.1249223031534141","KNeighborsRegressor(algorithm='brute', leaf_size=1, n_neighbors=3) -1.1933437352745098","DecisionTreeRegressor(criterion='friedman_mse', random_state=42) -1.5733490562058825",KernelRidge(alpha=3.1) -1.0580488972368818,"KernelRidge(alpha=1.1, degree=1, kernel='polynomial') -1.0749270143827303","KernelRidge(alpha=0.1, degree=1, kernel='sigmoid') -1.151734748967674",PLSRegression(n_components=1) -1.2102180844951245,"RandomForestRegressor(criterion='friedman_mse', random_state=42) -1.4209361641449296",Viscosity_std_3
2.574307209,2.574307209,4.178396191,"SVR(C=1, kernel='linear') -2.4137316313969306","SVR(C=51, epsilon=0.30000000000000004) -2.6857120077316003","SVR(C=11, coef0=0, gamma='auto', kernel='sigmoid') -2.11126060591305","SVR(C=21, coef0=1, epsilon=0.30000000000000004, kernel='poly') -2.104719109368319","SGDRegressor(alpha=0.0007000000000000001, penalty='l1', random_state=42) -2.5977564516098814","SGDRegressor(alpha=0.0007000000000000001, l1_ratio=1.0, penalty='elasticnet',
             random_state=42) -2.5977564516098814","KNeighborsRegressor(algorithm='ball_tree', leaf_size=11, n_neighbors=6) -2.8800101509838707","DecisionTreeRegressor(criterion='friedman_mse', random_state=42) -3.1235740784999995","KernelRidge(alpha=1.1, kernel='poly') -2.7182994953229036","KernelRidge(alpha=2.1, coef0=11, degree=2, kernel='polynomial') -2.4887956336116224","KernelRidge(alpha=3.1, degree=1, kernel='sigmoid') -2.794272299276051",PLSRegression(n_components=1) -2.6646073389292453,"RandomForestRegressor(criterion='friedman_mse', random_state=42) -2.9606283727386113",Viscosity_std_398
2.201219696,2.201219696,7.222011197,"SVR(C=1, epsilon=1.0, kernel='linear') -2.078361608180429","SVR(C=11, epsilon=0.6, gamma='auto') -2.183597432117438","SVR(C=11, coef0=0, gamma='auto', kernel='sigmoid') -3.287751728038375","SVR(C=11, coef0=1, degree=2, gamma='auto', kernel='poly') -1.8375799488536197","SGDRegressor(alpha=0.001, random_state=42) -2.2026901891925736","SGDRegressor(alpha=0.001, l1_ratio=0.1, penalty='elasticnet', random_state=42) -2.2026833394505054","KNeighborsRegressor(leaf_size=1, n_neighbors=2, p=1) -2.182093856148148","DecisionTreeRegressor(criterion='friedman_mse', random_state=42) -2.6573646281604946","KernelRidge(alpha=1.1, kernel='poly') -2.294882742222935","KernelRidge(alpha=0.1, degree=2, kernel='polynomial') -1.8676013225003159","KernelRidge(alpha=3.1, degree=1, kernel='sigmoid') -3.481679070760767",PLSRegression(n_components=1) -3.066123449513441,"RandomForestRegressor(criterion='friedman_mse', random_state=42) -2.50833685306329",Viscosity_std_4801
3.047479424,3.047479424,4.499099965,"SVR(C=11, epsilon=1.0, kernel='linear') -2.9912687748224336",SVR(C=71) -3.5544714270140725,"SVR(C=1, coef0=0, kernel='sigmoid') -2.8265775498090564","SVR(C=1, coef0=11, degree=1, epsilon=0.6, kernel='poly') -2.9582720487957204","SGDRegressor(alpha=0.001, learning_rate='constant', penalty='l1',
             random_state=42) -3.0322587413422024","SGDRegressor(alpha=0.001, l1_ratio=1.0, learning_rate='constant',
             penalty='elasticnet', random_state=42) -3.0322587413422024","KNeighborsRegressor(leaf_size=11, n_neighbors=3, p=3) -3.439014276162162","DecisionTreeRegressor(criterion='friedman_mse', random_state=42,
                      splitter='random') -4.15837927086937","KernelRidge(alpha=10.1, kernel='poly') -3.4656337939138697","KernelRidge(alpha=1.1, coef0=11, degree=1, kernel='polynomial') -3.0193205383371238","KernelRidge(alpha=4.1, degree=1, kernel='sigmoid') -3.4281566258689553",PLSRegression(n_components=1) -3.0241572261281724,"RandomForestRegressor(criterion='friedman_mse', random_state=42) -3.8703032005837055",Viscosity_std_505
4.335614838,4.335614838,18.74561849,"SVR(C=11, epsilon=0.5, kernel='linear') -4.474300491751668","SVR(C=101, gamma='auto') -4.289775854860608","SVR(C=11, coef0=0, epsilon=0.8, gamma='auto', kernel='sigmoid') -3.888090248116944","SVR(C=41, coef0=11, degree=2, epsilon=1.0, gamma='auto', kernel='poly') -2.8901133058421595","SGDRegressor(alpha=0.0009000000000000001, penalty='l1', random_state=42) -4.570797559108107","SGDRegressor(alpha=0.0009000000000000001, l1_ratio=1.0, penalty='elasticnet',
             random_state=42) -4.570797559108107","KNeighborsRegressor(leaf_size=11, n_neighbors=1, p=1) -3.9705038002857145","DecisionTreeRegressor(criterion='friedman_mse', random_state=42) -4.184477837912699","KernelRidge(alpha=0.1, kernel='laplacian') -4.534396109144871","KernelRidge(alpha=0.1, coef0=11, degree=2, kernel='polynomial') -3.0429077127216755","KernelRidge(alpha=1.1, degree=1, kernel='sigmoid') -7.015797834545275",PLSRegression(n_components=1) -4.966088078922148,"RandomForestRegressor(criterion='friedman_mse', random_state=42) -3.629769505004204",Viscosity_std_5882
2.727291726,2.727291726,5.182287986,"SVR(C=1, epsilon=0.8, kernel='linear') -2.311295591032201","SVR(C=1, epsilon=1.0) -2.608508662865401","SVR(C=61, coef0=0, gamma='auto', kernel='sigmoid') -1.5796060185341938","SVR(C=21, coef0=0, degree=1, kernel='poly') -2.4111173220477475","SGDRegressor(alpha=0.001, penalty='l1', power_t=0.5, random_state=42) -2.69515588464957","SGDRegressor(alpha=0.001, l1_ratio=1.0, penalty='elasticnet', power_t=0.5,
             random_state=42) -2.69515588464957","KNeighborsRegressor(algorithm='ball_tree', leaf_size=1, n_neighbors=6, p=1) -2.4002717444313775","DecisionTreeRegressor(criterion='friedman_mse', random_state=42) -2.8644019299019683","KernelRidge(alpha=1.1, kernel='rbf') -2.5956736924875976","KernelRidge(alpha=1.1, coef0=11, degree=1, kernel='polynomial') -2.4619843135902193","KernelRidge(alpha=1.1, degree=1, kernel='sigmoid') -2.382622161593595",PLSRegression(n_components=1) -3.0367734277278897,"RandomForestRegressor(criterion='friedman_mse', random_state=42) -2.5805458163369224",Viscosity_std_6695
6.487446864,6.487446864,178.6258968,"SVR(C=11, epsilon=0.30000000000000004, kernel='linear') -5.1259121453385434","SVR(C=31, epsilon=0.2, gamma='auto') -5.873124988053828","SVR(C=11, coef0=0, epsilon=0.7000000000000001, gamma='auto', kernel='sigmoid') -6.050361089317319","SVR(C=31, coef0=11, degree=1, epsilon=0.30000000000000004, gamma='auto',
    kernel='poly') -5.120333958956553","SGDRegressor(learning_rate='adaptive', penalty='l1', random_state=42) -6.440184303988813","SGDRegressor(l1_ratio=1.0, learning_rate='adaptive', penalty='elasticnet',
             random_state=42) -6.440184303988813","KNeighborsRegressor(algorithm='brute', leaf_size=1, n_neighbors=1) -7.554873141344827","DecisionTreeRegressor(criterion='friedman_mse', random_state=42,
                      splitter='random') -7.633142413656324","KernelRidge(alpha=2.1, kernel='poly') -6.288525130648581","KernelRidge(alpha=0.1, coef0=0, degree=2, kernel='polynomial') -5.652847104263189","KernelRidge(alpha=7.1, coef0=0, degree=1, kernel='sigmoid') -6.918278318544935",PLSRegression(n_components=1) -6.438720817268,"RandomForestRegressor(criterion='friedman_mse', random_state=42) -7.169834787416701",Viscosity_std_7782
