name,volume,coefs_error,intercept_error,r2_error,coefs_time,intercept_time,r2_time
standard_1275,300,[-10.00489479 -16.74596882],-11.6910866912,0.8796821708707625,[-207.45526143 -207.45526143],419.77276429791993,0.960242444154476
standard_1275,500,[ -7.30459566 -10.58888916],-14.148351647599998,0.8922166691389861,[-207.45526143 -207.45526143],419.77276429791993,0.960242444154476
standard_1275,1000,[-4.92915041 -7.01483519],-10.3021978024,0.9559059474843659,[-207.45526143 -207.45526143],419.77276429791993,0.960242444154476
standard_1275,"mean[300, 500, 1000]",[ -7.41288029 -11.44989772],-12.047212047066663,0.9131336937604321,[-207.45526143 -207.45526143],419.77276429791993,0.960242444154476
standard_204,300,[-1.99189847 -4.60825432],0.0501601265577152,0.9227931399580506,[-50.90171494 -50.90171494],110.54280652999878,0.9602424626161404
standard_204,500,[ 0.08141174 -5.8667932 ],-2.1599722190070265,0.9964710127044892,[-50.90171494 -50.90171494],110.54280652999878,0.9602424626161404
standard_204,1000,[-0.38209926 -6.84289636],-5.47980090288214,0.9933928915151162,[-50.90171494 -50.90171494],110.54280652999878,0.9602424626161404
standard_204,"mean[300, 500, 1000]",[-0.76419533 -5.77264796],-2.5298709984438172,0.9845294077781115,[-50.90171494 -50.90171494],110.54280652999878,0.9602424626161404
standard_398,300,[-3.1557752  -4.18415059],1.8603936043999985,0.9747075438935822,[-93.59028166 -93.59028166],194.86272209134532,0.96024246263013
standard_398,500,[-0.83543449 -3.73970845],-0.07380073820000127,0.941342488927113,[-93.59028166 -93.59028166],194.86272209134532,0.96024246263013
standard_398,1000,[-0.4260161  -6.27711747],-4.347324724600002,0.9435085384125131,[-93.59028166 -93.59028166],194.86272209134532,0.96024246263013
standard_398,"mean[300, 500, 1000]",[-1.4724086  -4.73365883],-0.8535772861333348,0.9944887786558464,[-93.59028166 -93.59028166],194.86272209134532,0.96024246263013
standard_505,300,[-5.48760853 -6.37301595],-2.215056241800002,0.9066059340174357,[-92.44442876 -92.44442876],192.59939428791157,0.9602424626299588
standard_505,500,[-3.90074473 -4.25136607],-2.7663250030000013,0.9434394288688518,[-92.44442876 -92.44442876],192.59939428791157,0.9602424626299588
standard_505,1000,[-2.2217772  -5.46768078],-5.438212599800001,0.9505876305702796,[-92.44442876 -92.44442876],192.59939428791157,0.9602424626299588
standard_505,"mean[300, 500, 1000]",[-3.87004349 -5.36402093],-3.473197948200002,0.9787871435535952,[-92.44442876 -92.44442876],192.59939428791157,0.9602424626299588
standard_817,300,[-5.85749311 -8.5454754 ],-3.8979447200565964,0.9927833171304374,[-183.06690212 -183.06690212],371.6,0.9602424626161404
standard_817,500,[-4.55735633 -5.54900385],-2.901015828017982,0.9707147515760465,[-183.06690212 -183.06690212],371.6,0.9602424626161404
standard_817,1000,[-2.58734765 -6.44496547],-6.9336168202220945,0.9091492750350636,[-183.06690212 -183.06690212],371.6,0.9602424626161404
standard_817,"mean[300, 500, 1000]",[-4.33406569 -6.84648157],-4.577525789432225,0.972203055931139,[-183.06690212 -183.06690212],371.6,0.9602424626161404
