name,volume,coefs_error,intercept_error,r2_error,coefs_time,intercept_time,r2_time
standard_1275,300,[-7.18591988 -2.56959397],-16.467229089600004,0.9618586427050413,[-158.27948606 -158.27948606],332.63904910354927,0.960242462814474
standard_1275,500,[-4.43745294 -1.96156348],-12.611836215799999,0.7575897475608199,[-158.27948606 -158.27948606],332.63904910354927,0.960242462814474
standard_1275,1000,[-4.39007718 -5.15946483],-14.182037035999999,0.6548772066422333,[-158.27948606 -158.27948606],332.63904910354927,0.960242462814474
standard_1275,"mean[300, 500, 1000]",[-5.33781667 -3.23020743],-14.420367447133332,0.9449936256322726,[-158.27948606 -158.27948606],332.63904910354927,0.960242462814474
standard_204,300,[ 2.01586141 -6.06783343],-9.393204519910963,0.9121602762606464,[-35.99972197 -35.99972197],91.10788083816475,0.9602424629890888
standard_204,500,[ 0.83523839 -4.14568695],-6.291305687567935,0.8899416478342139,[-35.99972197 -35.99972197],91.10788083816475,0.9602424629890888
standard_204,1000,[ 0.42564672 -8.17621373],-11.732503559571178,0.9548226614641973,[-35.99972197 -35.99972197],91.10788083816475,0.9602424629890888
standard_204,"mean[300, 500, 1000]",[ 1.09224884 -6.12991137],-9.139004589016691,0.939762315214308,[-35.99972197 -35.99972197],91.10788083816475,0.9602424629890888
standard_398,300,[-0.01877947 -5.47265907],-11.992893013188624,0.9900191346752898,[-25.24145172 -25.24145175],69.85777789084844,0.9602424628672446
standard_398,500,[-0.15662097 -6.63617096],-9.762414798284759,0.9873786911974731,[-25.24145172 -25.24145175],69.85777789084844,0.9602424628672446
standard_398,1000,[-0.25975487 -6.99352644],-10.653956386895658,0.9458890460736541,[-25.24145172 -25.24145175],69.85777789084844,0.9602424628672446
standard_398,"mean[300, 500, 1000]",[-0.14505177 -6.36745216],-10.803088066123014,0.9994197377444599,[-25.24145172 -25.24145175],69.85777789084844,0.9602424628672446
standard_505,300,[-1.66994524 -2.24534761],-4.919779629413685,0.7322219341631162,[-67.18547264 -67.18547264],152.70704111099244,0.9602424626161404
standard_505,500,[-2.84771948 -2.79508177],-5.286057976348891,0.5860547573359556,[-67.18547264 -67.18547264],152.70704111099244,0.9602424626161404
standard_505,1000,[ 0.29945551 -9.38356001],-12.625497399787442,0.9850742406420206,[-67.18547264 -67.18547264],152.70704111099244,0.9602424626161404
standard_505,"mean[300, 500, 1000]",[-1.40606973 -4.80799646],-7.610445001850008,0.9110649962547944,[-67.18547264 -67.18547264],152.70704111099244,0.9602424626161404
standard_817,300,[-2.939545   -2.52670391],-11.522099143178869,0.9527733956005462,[-84.49795054 -84.49795054],186.90323913453378,0.9602424602841011
standard_817,500,[ 0.39746719 -5.5696744 ],-11.872981546006196,0.7106087791327822,[-84.49795054 -84.49795054],186.90323913453378,0.9602424602841011
standard_817,1000,[ -0.90392068 -10.00547886],-16.932779229942433,0.9810322764397845,[-84.49795054 -84.49795054],186.90323913453378,0.9602424602841011
standard_817,"mean[300, 500, 1000]",[-1.14866616 -6.03395239],-13.442619973042497,0.92544145363062,[-84.49795054 -84.49795054],186.90323913453378,0.9602424602841011
