liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,mi,mf,m,%error,Comment,Volume,,Error,,%error,,std_dev,rel
Viscosity_std_817,p1000,1000,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,21.8654,22.7144,0.849,0.283486889,,1002.834869,,2.834868887,,0.283486889,,,
Viscosity_std_817,p1000,1000,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,22.7144,23.55,0.8356,-1.299314907,,987.0068509,,-12.99314907,,-1.299314907,,,
Viscosity_std_817,p1000,1000,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,23.55,24.3836,0.8336,-1.535553981,,984.6444602,,-15.35553981,,-1.535553981,,,
Viscosity_std_817,p1000,1000,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,24.3836,25.2203,0.8367,-1.169383416,,988.3061658,,-11.69383416,,-1.169383416,,,
Viscosity_std_817,p1000,1000,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,25.2203,26.0553,0.835,-1.370186629,,986.2981337,,-13.70186629,,-1.370186629,,,
Viscosity_std_817,p1000,1000,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,26.0553,26.89,0.8347,-1.40562249,,985.9437751,,-14.0562249,,-1.40562249,,,
Viscosity_std_817,p1000,1000,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,26.89,27.7217,0.8317,-1.759981101,,982.400189,,-17.59981101,,-1.759981101,,,
Viscosity_std_817,p1000,1000,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,27.7221,28.5588,0.8367,-1.169383416,,988.3061658,,-11.69383416,,-1.169383416,,,
Viscosity_std_817,p1000,1000,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,28.5588,29.3968,0.838,-1.015828018,,989.8417198,,-10.15828018,,-1.015828018,,,
Viscosity_std_817,p1000,1000,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,29.3968,30.2314,0.8346,-1.417434444,-1.185920151,985.8256556,988.1407985,-14.17434444,-11.85920151,-1.417434444,-1.185920151,5.566871842,0.563368282
Viscosity_std_817,p1000,500,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,30.2314,30.6357,0.4043,-4.488542405,,477.557288,,-22.44271202,,-4.488542405,,,
Viscosity_std_817,p1000,500,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,30.6357,31.0407,0.405,-4.323175053,,478.3841247,,-21.61587527,,-4.323175053,,,
Viscosity_std_817,p1000,500,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,31.0407,31.4456,0.4049,-4.346798961,,478.2660052,,-21.7339948,,-4.346798961,,,
Viscosity_std_817,p1000,500,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,31.4456,31.8505,0.4049,-4.346798961,,478.2660052,,-21.7339948,,-4.346798961,,,
Viscosity_std_817,p1000,500,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,31.8505,32.2564,0.4059,-4.110559887,,479.4472006,,-20.55279943,,-4.110559887,,,
Viscosity_std_817,p1000,500,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,32.2564,32.6606,0.4042,-4.512166312,,477.4391684,,-22.56083156,,-4.512166312,,,
Viscosity_std_817,p1000,500,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,32.6606,33.0677,0.4071,-3.827072998,,480.864635,,-19.13536499,,-3.827072998,,,
Viscosity_std_817,p1000,500,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,33.0677,33.4726,0.4049,-4.346798961,,478.2660052,,-21.7339948,,-4.346798961,,,
Viscosity_std_817,p1000,500,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,33.4726,33.8786,0.406,-4.086935979,,479.5653201,,-20.4346799,,-4.086935979,,,
Viscosity_std_817,p1000,500,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,33.8786,34.2846,0.406,-4.086935979,-4.247578549,479.5653201,478.7621073,-20.4346799,-21.23789275,-4.086935979,-4.247578549,1.067877267,0.223049663
Viscosity_std_817,p1000,300,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,34.9299,35.172,0.2421,-4.677533664,,285.967399,,-14.03260099,,-4.677533664,,,
Viscosity_std_817,p1000,300,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,35.172,35.4146,0.2426,-4.480667769,,286.5579967,,-13.44200331,,-4.480667769,,,
Viscosity_std_817,p1000,300,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,35.4146,35.6573,0.2427,-4.44129459,,286.6761162,,-13.32388377,,-4.44129459,,,
Viscosity_std_817,p1000,300,19.63,6.393,0,5,5,0,TRUE,FALSE,0.8466,23.4267,23.6801,0.2534,-0.228364438,,299.3149067,,-0.685093314,,-0.228364438,,,
