liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_505,p1000,1000.0,58.599665,26.031229,0,5,5,0,True,False,0.8683,71.5652642250061,21.967,22.756,0.7890000000000015,-9.132788206840779,,
Viscosity_std_505,p1000,500.0,59.500129,19.007872,0,5,5,0,True,False,0.8683,51.29910469055176,22.756,23.1717,0.41570000000000107,-4.249683289185515,,
Viscosity_std_505,p1000,300.0,61.541517,22.74406,0,5,5,0,True,False,0.8683,34.510120153427124,23.1717,23.4263,0.25459999999999994,-2.261123267687843,,
Viscosity_std_505,p1000,1000.0,41.265349,13.789986,0,5,5,0,True,False,0.8683,113.73326301574707,23.4263,24.2843,0.8580000000000005,-1.1862259587699437,,
Viscosity_std_505,p1000,500.0,49.034132,13.471344,0,5,5,0,True,False,0.8683,64.39785242080688,24.2843,24.7093,0.42499999999999716,-2.1075665092716394,,
Viscosity_std_505,p1000,300.0,54.587845,21.88212,0,5,5,0,True,False,0.8683,35.79445266723633,24.7093,24.9575,0.24820000000000064,-4.71803140235685,,
Viscosity_std_505,p1000,1000.0,36.438157,10.967022,0,5,5,0,True,False,0.8683,135.58843183517456,24.9499,25.8174,0.8674999999999997,-0.0921340550501261,,
Viscosity_std_505,p1000,500.0,44.971014,11.447474,0,5,5,0,True,False,0.8683,71.51994562149048,25.8174,26.2423,0.42490000000000094,-2.130600023033292,,
Viscosity_std_505,p1000,300.0,61.790732,27.107443,0,5,5,0,True,False,0.8683,32.23078966140747,26.2423,26.481,0.23870000000000147,-8.36500441475624,,
Viscosity_std_505,p1000,1000.0,48.519239,12.191682,0,5,5,0,True,False,0.8683,121.3795223236084,26.481,27.3384,0.8573999999999984,-1.2553265000577651,,
Viscosity_std_505,p1000,500.0,52.99734,11.122566,0,5,5,0,True,False,0.8683,71.38584017753601,21.3706,21.7957,0.4251000000000005,-2.0845329955083503,,
Viscosity_std_505,p1000,300.0,49.815477,14.513244,0,5,5,0,True,False,0.8683,43.53435444831848,21.7957,22.0513,0.25560000000000116,-1.8772313716452993,,
Viscosity_std_505,p1000,1000.0,30.922621,13.340393,0,5,5,0,True,False,0.8683,124.75511908531189,22.0513,22.9164,0.8650999999999982,-0.36853622020059396,,
Viscosity_std_505,p1000,500.0,37.061581,23.337657,0,5,5,0,True,False,0.8683,51.31443905830383,22.9164,23.3402,0.42379999999999995,-2.3839686744212893,,
Viscosity_std_505,p1000,300.0,52.99734,11.122566,0,5,5,0,True,False,0.8683,49.516101598739624,23.3402,23.5953,0.2551000000000023,-2.069177319665889,,
