liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,mi,mf,m,%error,Comment
5.0,p1000,1000.0,110.67,50.79,0,5,5,0,True,False,0.8639,25.4846,26.343,0.8583999999999996,-0.6366477601574712,
5.0,p1000,1000.0,110.67,50.79,0,5,5,0,True,False,0.8639,26.343,27.1906,0.8475999999999999,-1.8867924528301994,
5.0,p1000,1000.0,110.67,50.79,0,5,5,0,True,False,0.8639,27.1906,28.038,0.8474000000000004,-1.9099432804722336,
5.0,p1000,1000.0,110.67,50.79,0,5,5,0,True,False,0.8639,28.038,28.8883,0.8503000000000007,-1.5742562796619144,
5.0,p1000,1000.0,110.67,50.79,0,5,5,0,True,False,0.8639,28.8883,29.7393,0.8509999999999991,-1.4932283829147945,
5.0,p1000,1000.0,110.67,50.79,0,5,5,0,True,False,0.8639,29.7393,30.5774,0.8381000000000007,-2.9864567658292938,
5.0,p1000,1000.0,110.67,50.79,0,5,5,0,True,False,0.8639,30.5774,31.4242,0.8467999999999982,-1.9793957633987476,
5.0,p1000,1000.0,110.67,50.79,0,5,5,0,True,False,0.8639,21.7458,22.5732,0.8274000000000008,-4.225026044681004,
5.0,p1000,1000.0,110.67,50.79,0,5,5,0,True,False,0.8639,22.5732,23.4259,0.8526999999999987,-1.2964463479570922,
5.0,p1000,1000.0,110.67,50.79,0,5,5,0,True,False,0.8639,23.4259,24.2799,0.8540000000000028,-1.1459659682830472,
5.0,p1000,500.0,110.67,50.79,0,5,5,0,True,False,0.8639,24.2799,24.7118,0.43189999999999884,-0.011575413821312705,
5.0,p1000,500.0,110.67,50.79,0,5,5,0,True,False,0.8639,24.7118,25.1249,0.4131,-4.363931010533621,
5.0,p1000,500.0,110.67,50.79,0,5,5,0,True,False,0.8639,25.1249,25.5428,0.4178999999999995,-3.25269128371351,
5.0,p1000,500.0,110.67,50.79,0,5,5,0,True,False,0.8639,25.5428,25.9614,0.4186000000000014,-3.090635490218448,
5.0,p1000,500.0,110.67,50.79,0,5,5,0,True,False,0.8639,25.9614,26.3775,0.41610000000000014,-3.669406181270949,
5.0,p1000,500.0,110.67,50.79,0,5,5,0,True,False,0.8639,26.3775,26.7953,0.4177999999999997,-3.2758421113555447,
5.0,p1000,500.0,110.67,50.79,0,5,5,0,True,False,0.8639,26.7953,27.2064,0.4110999999999976,-4.826947563375952,
5.0,p1000,500.0,110.67,50.79,0,5,5,0,True,False,0.8639,27.2064,27.6261,0.4197000000000024,-2.8359763861552487,
5.0,p1000,500.0,110.67,50.79,0,5,5,0,True,False,0.8639,27.6261,28.0432,0.4170999999999978,-3.4378979048506064,
5.0,p1000,500.0,110.67,50.79,0,5,5,0,True,False,0.8639,28.0432,28.4599,0.4167000000000023,-3.530501215417921,
5.0,p1000,300.0,110.67,50.79,0,5,5,0,True,False,0.8639,28.4599,28.7131,0.25319999999999965,-2.3035073503879167,
5.0,p1000,300.0,110.67,50.79,0,5,5,0,True,False,0.8639,28.7131,28.9612,0.24810000000000088,-4.27132769996494,
5.0,p1000,300.0,110.67,50.79,0,5,5,0,True,False,0.8639,28.9612,29.206,0.2447999999999979,-5.544623220280936,
5.0,p1000,300.0,110.67,50.79,0,5,5,0,True,False,0.8639,29.206,29.4518,0.24579999999999913,-5.158776092912328,
5.0,p1000,300.0,110.67,50.79,0,5,5,0,True,False,0.8639,29.4518,29.6959,0.2441000000000031,-5.814716209436631,
5.0,p1000,300.0,110.67,50.79,0,5,5,0,True,False,0.8639,29.6959,29.9386,0.24269999999999925,-6.354902187753505,
5.0,p1000,300.0,110.67,50.79,0,5,5,0,True,False,0.8639,29.9386,30.1823,0.24370000000000047,-5.969055060384897,
5.0,p1000,300.0,110.67,50.79,0,5,5,0,True,False,0.8639,22.9808,23.234,0.2532000000000032,-2.3035073503865457,
5.0,p1000,300.0,110.67,50.79,0,5,5,0,True,False,0.8639,23.234,23.4881,0.25409999999999755,-1.9562449357574028,
5.0,p1000,300.0,110.67,50.79,0,5,5,0,True,False,0.8639,23.4881,23.7392,0.251100000000001,-3.113786317860486,
