liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,mi,mf,m,%error,Comment,Volume,,Error,,%error,,std_dev,rel
Viscosity_std_1275,p1000,1000,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,21.0435,21.909,0.8655,-0.927197802,,990.728022,,-9.271978022,,-0.927197802,,,
Viscosity_std_1275,p1000,1000,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,21.909,22.7705,0.8615,-1.38507326,,986.1492674,,-13.8507326,,-1.38507326,,,
Viscosity_std_1275,p1000,1000,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,22.7705,23.6292,0.8587,-1.705586081,,982.9441392,,-17.05586081,,-1.705586081,,,
Viscosity_std_1275,p1000,1000,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,23.6292,24.4817,0.8525,-2.41529304,,975.8470696,,-24.1529304,,-2.41529304,,,
Viscosity_std_1275,p1000,1000,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,25.3339,26.1819,0.848,-2.93040293,,970.6959707,,-29.3040293,,-2.93040293,,,
Viscosity_std_1275,p1000,1000,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,26.1819,27.0346,0.8527,-2.392399267,,976.0760073,,-23.92399267,,-2.392399267,,,
Viscosity_std_1275,p1000,1000,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,27.0346,27.8858,0.8512,-2.564102564,,974.3589744,,-25.64102564,,-2.564102564,,,
Viscosity_std_1275,p1000,1000,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,27.8858,28.7391,0.8533,-2.323717949,,976.7628205,,-23.23717949,,-2.323717949,,,
Viscosity_std_1275,p1000,1000,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,28.7391,29.5914,0.8523,-2.438186813,,975.6181319,,-24.38186813,,-2.438186813,,,
Viscosity_std_1275,p1000,1000,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,29.5914,30.4538,0.8624,-1.282051282,-2.036401099,987.1794872,979.635989,-12.82051282,-20.36401099,-1.282051282,-2.036401099,6.603893441,0.674117072
Viscosity_std_1275,p1000,500,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,30.4538,30.8786,0.4248,-2.747252747,,486.2637363,,-13.73626374,,-2.747252747,,,
Viscosity_std_1275,p1000,500,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,30.8786,31.3007,0.4221,-3.365384615,,483.1730769,,-16.82692308,,-3.365384615,,,
Viscosity_std_1275,p1000,500,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,31.3007,31.7185,0.4178,-4.34981685,,478.2509158,,-21.74908425,,-4.34981685,,,
Viscosity_std_1275,p1000,500,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,31.7185,32.1376,0.4191,-4.052197802,,479.739011,,-20.26098901,,-4.052197802,,,
Viscosity_std_1275,p1000,500,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,32.1376,32.5555,0.4179,-4.326923077,,478.3653846,,-21.63461538,,-4.326923077,,,
Viscosity_std_1275,p1000,500,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,21.9965,22.4146,0.4181,-4.281135531,,478.5943223,,-21.40567766,,-4.281135531,,,
Viscosity_std_1275,p1000,500,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,22.4146,22.8252,0.4106,-5.998168498,,470.0091575,,-29.99084249,,-5.998168498,,,
Viscosity_std_1275,p1000,500,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,22.8252,23.2405,0.4153,-4.922161172,,475.3891941,,-24.61080586,,-4.922161172,,,
Viscosity_std_1275,p1000,500,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,23.2405,23.6513,0.4108,-5.952380952,,470.2380952,,-29.76190476,,-5.952380952,,,
Viscosity_std_1275,p1000,500,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,23.6513,24.0621,0.4108,-5.952380952,-4.59478022,470.2380952,477.0260989,-29.76190476,-22.9739011,-5.952380952,-4.59478022,5.580753367,1.169905248
Viscosity_std_1275,p1000,300,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,21.9069,22.1401,0.2332,-11.01953602,,266.9413919,,-33.05860806,,-11.01953602,,,
Viscosity_std_1275,p1000,300,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,22.1401,22.3784,0.2383,-9.073565324,,272.779304,,-27.22069597,,-9.073565324,,,
Viscosity_std_1275,p1000,300,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,22.3784,22.6103,0.2319,-11.51556777,,265.4532967,,-34.5467033,,-11.51556777,,,
Viscosity_std_1275,p1000,300,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,22.6103,22.8435,0.2332,-11.01953602,,266.9413919,,-33.05860806,,-11.01953602,,,
Viscosity_std_1275,p1000,300,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,22.8435,23.0756,0.2321,-11.43925519,,265.6822344,,-34.31776557,,-11.43925519,,,
Viscosity_std_1275,p1000,300,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,23.0756,23.3077,0.2321,-11.43925519,,265.6822344,,-34.31776557,,-11.43925519,,,
Viscosity_std_1275,p1000,300,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,23.3077,23.5355,0.2278,-13.07997558,,260.7600733,,-39.23992674,,-13.07997558,,,
Viscosity_std_1275,p1000,300,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,23.5355,23.7656,0.2301,-12.20238095,,263.3928571,,-36.60714286,,-12.20238095,,,
Viscosity_std_1275,p1000,300,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,23.7656,23.996,0.2304,-12.08791209,,263.7362637,,-36.26373626,,-12.08791209,,,
Viscosity_std_1275,p1000,300,6.74,9.41,0,5,5,0,TRUE,FALSE,0.8736,23.996,24.229,0.233,-11.0958486,-11.39728327,266.7124542,265.8081502,-33.28754579,-34.19184982,-11.0958486,-11.39728327,3.122504169,1.174721003
