liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value
Viscosity_std_817,p1000,1000,25,25,0,5,5,0,-15.36735176,90,
Viscosity_std_817,p1000,500,25,25,0,5,5,0,-10.08740846,90,
Viscosity_std_817,p1000,300,25,25,0,5,5,0,-12.63091582,90,
Viscosity_std_817,p1000,"mean[100, 500, 1000]",25,25,0,5,5,0,-12.69522535,90,
Viscosity_std_817,p1000,1000,31.25,31.25,0,5,5,0,-12.69785022,74,
Viscosity_std_817,p1000,500,31.25,31.25,0,5,5,0,-11.97732105,74,
Viscosity_std_817,p1000,300,31.25,31.25,0,5,5,0,-16.64698008,74,
Viscosity_std_817,p1000,"mean[100, 500, 1000]",31.25,31.25,0,5,5,0,-13.77405045,74,
Viscosity_std_817,p1000,1000,31.25,2.5,0,5,5,0,-1.429246397,442,
Viscosity_std_817,p1000,500,31.25,2.5,0,5,5,0,0.519725963,442,
Viscosity_std_817,p1000,300,31.25,2.5,0,5,5,0,0.992204111,442,
Viscosity_std_817,p1000,"mean[100, 500, 1000]",31.25,2.5,0,5,5,0,-0.980392157,442,
Viscosity_std_817,p1000,1000,2.5,31.25,0,5,5,0,-9.792109615,442,
Viscosity_std_817,p1000,500,2.5,31.25,0,5,5,0,-1.63004961,442,
Viscosity_std_817,p1000,300,2.5,31.25,0,5,5,0,-4.83502638,442,
Viscosity_std_817,p1000,"mean[100, 500, 1000]",2.5,31.25,0,5,5,0,-5.419061868,442,
Viscosity_std_817,p1000,1000,2.5,2.5,0,5,5,0,4.618473896,810,
Viscosity_std_817,p1000,500,2.5,2.5,0,5,5,0,8.669974014,810,
Viscosity_std_817,p1000,300,2.5,2.5,0,5,5,0,13.63099457,810,
Viscosity_std_817,p1000,"mean[100, 500, 1000]",2.5,2.5,0,5,5,0,-8.973147492,810,
Viscosity_std_817,p1000,1000,27.17343471,6.503372649,0,5,5,0,-3.236475,200.567017,
Viscosity_std_817,p1000,500,27.17343471,6.503372649,0,5,5,0,-4.275927,200.567017,
Viscosity_std_817,p1000,300,27.17343471,6.503372649,0,5,5,0,-5.464997,200.567017,
Viscosity_std_817,p1000,"mean[100, 500, 1000]",27.17343471,6.503372649,0,5,5,0,-4.325799667,200.567017,
Viscosity_std_817,p1000,1000,6.248120937,17.73050698,0,5,5,0,-5.457123,226.448085,
Viscosity_std_817,p1000,500,6.248120937,17.73050698,0,5,5,0,-1.889913,226.448085,
Viscosity_std_817,p1000,300,6.248120937,17.73050698,0,5,5,0,-5.307505,226.448085,
Viscosity_std_817,p1000,"mean[100, 500, 1000]",6.248120937,17.73050698,0,5,5,0,-4.218180333,226.448085,
Viscosity_std_817,p1000,1000,15.18602523,7.303249353,0,5,5,0,-1.181195,212.7753693,
Viscosity_std_817,p1000,500,15.18602523,7.303249353,0,5,5,0,-0.732341,212.7753693,
Viscosity_std_817,p1000,300,15.18602523,7.303249353,0,5,5,0,-3.732577,212.7753693,
Viscosity_std_817,p1000,"mean[100, 500, 1000]",15.18602523,7.303249353,0,5,5,0,-1.882037667,212.7753693,
Viscosity_std_817,p1000,1000,15.27658606,13.34505078,0,5,5,0,-1.015828,150.3937988,
Viscosity_std_817,p1000,500,15.27658606,13.34505078,0,5,5,0,-3.118356,150.3937988,
Viscosity_std_817,p1000,300,15.27658606,13.34505078,0,5,5,0,-4.677534,150.3937988,
Viscosity_std_817,p1000,"mean[100, 500, 1000]",15.27658606,13.34505078,0,5,5,0,-2.937239333,150.3937988,
Viscosity_std_817,p1000,1000,19.42055064,7.23140123,0,5,5,0,-1.547366,199.7776315,
Viscosity_std_817,p1000,500,19.42055064,7.23140123,0,5,5,0,-2.882117,199.7776315,
Viscosity_std_817,p1000,300,19.42055064,7.23140123,0,5,5,0,-2.748248,199.7776315,
Viscosity_std_817,p1000,"mean[100, 500, 1000]",19.42055064,7.23140123,0,5,5,0,-2.392577,199.7776315,
