liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,mi,mf,m,%error,Comment
Viscosity_std_1275,p1000,1000.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,26.7203,27.5776,0.8572999999999986,-1.865842490842654,
Viscosity_std_1275,p1000,1000.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,25.3894,26.252,0.8626000000000005,-1.2591575091574594,
Viscosity_std_1275,p1000,1000.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,25.5856,26.4548,0.8691999999999993,-0.5036630036630879,
Viscosity_std_1275,p1000,1000.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,24.0292,24.8945,0.8653000000000013,-0.9500915750914324,
Viscosity_std_1275,p1000,1000.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,22.4738,23.3454,0.8716000000000008,-0.22893772893764014,
Viscosity_std_1275,p1000,1000.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,30.0459,30.91,0.8641000000000005,-1.0874542124541562,
Viscosity_std_1275,p1000,1000.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,26.9269,27.7965,0.8696000000000019,-0.4578754578752422,
Viscosity_std_1275,p1000,1000.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,28.4792,29.3554,0.8762000000000008,0.2976190476191292,
Viscosity_std_1275,p1000,1000.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,23.8582,24.7213,0.8630999999999993,-1.2019230769231606,
Viscosity_std_1275,p1000,1000.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,22.331,23.1896,0.8585999999999991,-1.7170329670330702,
Viscosity_std_1275,p1000,500.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,30.91,31.3414,0.4314,-1.23626373626374,
Viscosity_std_1275,p1000,500.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,26.252,26.6758,0.4237999999999999,-2.9761904761904914,
Viscosity_std_1275,p1000,500.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,26.4548,26.8809,0.4261000000000017,-2.4496336996333152,
Viscosity_std_1275,p1000,500.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,27.7965,28.2298,0.4332999999999991,-0.8012820512822552,
Viscosity_std_1275,p1000,500.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,27.5776,28.0077,0.4300999999999995,-1.5338827838829072,
Viscosity_std_1275,p1000,500.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,29.3554,29.7891,0.43370000000000175,-0.7097069597065638,
Viscosity_std_1275,p1000,500.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,24.8945,25.3303,0.4358000000000004,-0.22893772893764014,
Viscosity_std_1275,p1000,500.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,24.7213,25.1448,0.42350000000000065,-3.04487179487165,
Viscosity_std_1275,p1000,500.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,23.1896,23.6095,0.4199000000000019,-3.8690476190471803,
Viscosity_std_1275,p1000,500.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,23.3454,23.7741,0.4286999999999992,-1.8543956043957939,
Viscosity_std_1275,p1000,300.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,23.7741,24.0292,0.25509999999999877,-2.6633089133093946,
Viscosity_std_1275,p1000,300.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,21.8385,22.0848,0.2463000000000015,-6.021062271061704,
Viscosity_std_1275,p1000,300.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,25.3303,25.5856,0.2552999999999983,-2.586996336996996,
Viscosity_std_1275,p1000,300.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,25.1448,25.3894,0.24459999999999835,-6.669719169719802,
Viscosity_std_1275,p1000,300.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,31.3414,31.5497,0.20830000000000126,-20.520451770451306,
Viscosity_std_1275,p1000,300.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,23.6095,23.8582,0.2486999999999995,-5.105311355311566,
Viscosity_std_1275,p1000,300.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,29.7891,30.0459,0.25679999999999836,-2.0146520146526523,
Viscosity_std_1275,p1000,300.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,28.2298,28.4792,0.24939999999999785,-4.838217338218173,
Viscosity_std_1275,p1000,300.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,26.6758,26.9269,0.251100000000001,-4.189560439560076,
Viscosity_std_1275,p1000,300.0,2.79587146,8.644932537999999,0,5,5,0,True,False,0.8736,26.8809,27.1362,0.2552999999999983,-2.586996336996996,
