liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,mi,mf,m,%error,Comment,Volume,,Error,,%error,,std_dev,rel
Viscosity_std_204,p1000,1000,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,20.8853,21.7581,0.8728,1.03021183,,1010.302118,,10.3021183,,1.03021183,,,
Viscosity_std_204,p1000,1000,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,21.7581,22.6335,0.8754,1.331172589,,1013.311726,,13.31172589,,1.331172589,,,
Viscosity_std_204,p1000,1000,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,22.6335,23.5132,0.8797,1.828915384,,1018.289154,,18.28915384,,1.828915384,,,
Viscosity_std_204,p1000,1000,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,23.5132,24.3843,0.8711,0.833429795,,1008.334298,,8.334297951,,0.833429795,,,
Viscosity_std_204,p1000,1000,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,24.3843,25.2606,0.8763,1.435351314,,1014.353513,,14.35351314,,1.435351314,,,
Viscosity_std_204,p1000,1000,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,25.2606,26.1363,0.8757,1.365898831,,1013.658988,,13.65898831,,1.365898831,,,
Viscosity_std_204,p1000,1000,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,26.1363,27.0127,0.8764,1.446926728,,1014.469267,,14.46926728,,1.446926728,,,
Viscosity_std_204,p1000,1000,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,26.3119,27.1716,0.8597,-0.48616738,,995.1383262,,-4.861673805,,-0.48616738,,,
Viscosity_std_204,p1000,1000,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,27.1716,28.0479,0.8763,1.435351314,,1014.353513,,14.35351314,,1.435351314,,,
Viscosity_std_204,p1000,1000,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,28.0479,28.9147,0.8668,0.335687001,1.05567774,1003.35687,1010.556777,3.356870008,10.5567774,0.335687001,1.05567774,6.796344204,0.672534622
Viscosity_std_204,p1000,500,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,20.7993,21.2423,0.443,2.558166454,,512.7908323,,12.79083227,,2.558166454,,,
Viscosity_std_204,p1000,500,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,21.2423,21.6877,0.4454,3.113786318,,515.5689316,,15.56893159,,3.113786318,,,
Viscosity_std_204,p1000,500,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,21.6877,22.134,0.4463,3.322143767,,516.6107188,,16.61071883,,3.322143767,,,
Viscosity_std_204,p1000,500,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,22.134,22.5804,0.4464,3.345294594,,516.726473,,16.72647297,,3.345294594,,,
Viscosity_std_204,p1000,500,98.5,35.1,0,5,5,0,TRUE,FALSE,0.8639,22.5804,23.0236,0.4432,2.60446811,,513.0223405,,13.02234055,,2.60446811,,,
