index,liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,mi,mf,m,%error,Comment
0,Viscosity_std_204,p1000,1000.0,98.5,35.1,0,5,5,0,True,False,0.8639,20.8958,21.7844,0.8886000000000003,2.8591272137979256,
1,Viscosity_std_204,p1000,1000.0,98.5,35.1,0,5,5,0,True,False,0.8639,21.7844,22.6731,0.8887,2.8707026276189427,
3,Viscosity_std_204,p1000,1000.0,98.5,35.1,0,5,5,0,True,False,0.8639,23.5599,24.4389,0.8790000000000013,1.747887486977814,
4,Viscosity_std_204,p1000,1000.0,98.5,35.1,0,5,5,0,True,False,0.8639,24.4389,25.3168,0.8779000000000003,1.6205579349462145,
5,Viscosity_std_204,p1000,1000.0,98.5,35.1,0,5,5,0,True,False,0.8639,25.3168,26.1939,0.8770999999999987,1.527954624377666,
6,Viscosity_std_204,p1000,1000.0,98.5,35.1,0,5,5,0,True,False,0.8639,26.1939,27.0701,0.8762000000000008,1.423775899988512,
7,Viscosity_std_204,p1000,1000.0,98.5,35.1,0,5,5,0,True,False,0.8639,27.0701,27.9452,0.8750999999999998,1.2964463479569124,
8,Viscosity_std_204,p1000,1000.0,98.5,35.1,0,5,5,0,True,False,0.8639,27.9452,28.8198,0.8746000000000009,1.2385692788518265,
9,Viscosity_std_204,p1000,1000.0,98.5,35.1,0,5,5,0,True,False,0.8639,28.8198,29.6946,0.8748000000000005,1.261720106493861,
10,Viscosity_std_204,p1000,1000.0,98.5,35.1,0,5,5,0,True,False,0.8639,29.6946,30.5676,0.8729999999999976,1.0533626577147304,
15,Viscosity_std_204,p1000,500.0,98.5,35.1,0,5,5,0,True,False,0.8639,20.7388,21.1877,0.4488999999999983,3.924065285333557,
16,Viscosity_std_204,p1000,500.0,98.5,35.1,0,5,5,0,True,False,0.8639,21.1877,21.6369,0.44920000000000115,3.993517768260482,
17,Viscosity_std_204,p1000,500.0,98.5,35.1,0,5,5,0,True,False,0.8639,21.6369,22.0874,0.4504999999999981,4.294478527606928,
18,Viscosity_std_204,p1000,500.0,98.5,35.1,0,5,5,0,True,False,0.8639,22.0874,22.5365,0.4491000000000014,3.970366940618448,
19,Viscosity_std_204,p1000,500.0,98.5,35.1,0,5,5,0,True,False,0.8639,22.5365,22.9853,0.44879999999999853,3.9009144576915227,
20,Viscosity_std_204,p1000,500.0,98.5,35.1,0,5,5,0,True,False,0.8639,22.9853,23.434,0.4487000000000023,3.8777636300503113,
21,Viscosity_std_204,p1000,500.0,98.5,35.1,0,5,5,0,True,False,0.8639,23.434,23.8822,0.44819999999999993,3.762009491839317,
22,Viscosity_std_204,p1000,500.0,98.5,35.1,0,5,5,0,True,False,0.8639,23.8822,24.3289,0.4466999999999999,3.414747077207981,
23,Viscosity_std_204,p1000,500.0,98.5,35.1,0,5,5,0,True,False,0.8639,24.3289,24.7769,0.4480000000000004,3.7157078365552487,
24,Viscosity_std_204,p1000,500.0,98.5,35.1,0,5,5,0,True,False,0.8639,24.7769,25.2238,0.4468999999999994,3.4610487324920496,
25,Viscosity_std_204,p1000,300.0,98.5,35.1,0,5,5,0,True,False,0.8639,25.2238,25.5011,0.2773000000000003,6.99540841918444,
26,Viscosity_std_204,p1000,300.0,98.5,35.1,0,5,5,0,True,False,0.8639,25.5011,25.7787,0.2775999999999996,7.111162557394611,
27,Viscosity_std_204,p1000,300.0,98.5,35.1,0,5,5,0,True,False,0.8639,25.7787,26.0561,0.2774000000000001,7.0339931319211635,
28,Viscosity_std_204,p1000,300.0,98.5,35.1,0,5,5,0,True,False,0.8639,26.0561,26.3331,0.277000000000001,6.879654280974268,
29,Viscosity_std_204,p1000,300.0,98.5,35.1,0,5,5,0,True,False,0.8639,26.3331,26.6102,0.27709999999999724,6.918238993709622,
30,Viscosity_std_204,p1000,300.0,98.5,35.1,0,5,5,0,True,False,0.8639,26.6102,26.8869,0.2767000000000017,6.763900142764097,
31,Viscosity_std_204,p1000,300.0,98.5,35.1,0,5,5,0,True,False,0.8639,26.8869,27.1632,0.2762999999999991,6.609561291815831,
32,Viscosity_std_204,p1000,300.0,98.5,35.1,0,5,5,0,True,False,0.8639,27.1632,27.4391,0.27590000000000003,6.455222440868937,
33,Viscosity_std_204,p1000,300.0,98.5,35.1,0,5,5,0,True,False,0.8639,27.4391,27.7154,0.2762999999999991,6.609561291815831,
34,Viscosity_std_204,p1000,300.0,98.5,35.1,0,5,5,0,True,False,0.8639,27.7154,27.9911,0.2757000000000005,6.378053015395489,
