liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,mi,mf,m,%error,Comment
Viscosity_std_505,p1000,1000.0,51.775,13.141,0,5,5,0,True,False,0.8683,20.7404,21.599,0.8585999999999991,-1.1171254174825314,
Viscosity_std_505,p1000,1000.0,51.775,13.141,0,5,5,0,True,False,0.8683,21.599,22.4533,0.8542999999999985,-1.6123459633768809,
Viscosity_std_505,p1000,1000.0,51.775,13.141,0,5,5,0,True,False,0.8683,24.2128,25.067,0.8541999999999987,-1.6238627202581162,
Viscosity_std_505,p1000,1000.0,51.775,13.141,0,5,5,0,True,False,0.8683,25.067,25.9252,0.8582000000000001,-1.1631924450074729,
Viscosity_std_505,p1000,1000.0,51.775,13.141,0,5,5,0,True,False,0.8683,25.9252,26.7955,0.8703000000000003,0.2303351376252833,
Viscosity_std_505,p1000,1000.0,51.775,13.141,0,5,5,0,True,False,0.8683,21.0076,21.8681,0.8604999999999983,-0.8983070367386498,
Viscosity_std_505,p1000,1000.0,51.775,13.141,0,5,5,0,True,False,0.8683,21.8681,22.7244,0.856300000000001,-1.3820108257513546,
Viscosity_std_505,p1000,1000.0,51.775,13.141,0,5,5,0,True,False,0.8683,22.7244,23.5825,0.8581000000000003,-1.1747092018887084,
Viscosity_std_505,p1000,1000.0,51.775,13.141,0,5,5,0,True,False,0.8683,23.5825,24.4412,0.8586999999999989,-1.105608660601296,
Viscosity_std_505,p1000,1000.0,51.775,13.141,0,5,5,0,True,False,0.8683,25.2866,26.1413,0.8547000000000011,-1.56627893585153,
Viscosity_std_505,p1000,500.0,51.775,13.141,0,5,5,0,True,False,0.8683,26.1413,26.5636,0.4222999999999999,-2.7294713808591693,
Viscosity_std_505,p1000,500.0,51.775,13.141,0,5,5,0,True,False,0.8683,21.1616,21.5827,0.42109999999999914,-3.005873546009637,
Viscosity_std_505,p1000,500.0,51.775,13.141,0,5,5,0,True,False,0.8683,21.5827,22.0071,0.4244000000000021,-2.245767591845646,
Viscosity_std_505,p1000,500.0,51.775,13.141,0,5,5,0,True,False,0.8683,22.0071,22.4294,0.4222999999999999,-2.7294713808591693,
Viscosity_std_505,p1000,500.0,51.775,13.141,0,5,5,0,True,False,0.8683,22.4294,22.8398,0.4103999999999992,-5.47045951859974,
Viscosity_std_505,p1000,500.0,51.775,13.141,0,5,5,0,True,False,0.8683,22.8398,23.2636,0.42379999999999995,-2.3839686744212893,
Viscosity_std_505,p1000,500.0,51.775,13.141,0,5,5,0,True,False,0.8683,23.2636,23.6874,0.42379999999999995,-2.3839686744212893,
Viscosity_std_505,p1000,500.0,51.775,13.141,0,5,5,0,True,False,0.8683,23.6874,24.11,0.4225999999999992,-2.660370839571757,
Viscosity_std_505,p1000,500.0,51.775,13.141,0,5,5,0,True,False,0.8683,24.11,24.5202,0.4101999999999997,-5.516526546124681,
Viscosity_std_505,p1000,500.0,51.775,13.141,0,5,5,0,True,False,0.8683,24.5202,24.9306,0.4103999999999992,-5.47045951859974,
Viscosity_std_505,p1000,300.0,51.775,13.141,0,5,5,0,True,False,0.8683,21.1191,21.3806,0.2615000000000016,0.3877308150031175,
Viscosity_std_505,p1000,300.0,51.775,13.141,0,5,5,0,True,False,0.8683,21.3806,21.6405,0.25989999999999824,-0.22649621866549802,
Viscosity_std_505,p1000,300.0,51.775,13.141,0,5,5,0,True,False,0.8683,21.6405,21.9002,0.25970000000000226,-0.30327459787237016,
Viscosity_std_505,p1000,300.0,51.775,13.141,0,5,5,0,True,False,0.8683,21.9002,22.159,0.25879999999999725,-0.6487773043121597,
Viscosity_std_505,p1000,300.0,51.775,13.141,0,5,5,0,True,False,0.8683,22.159,22.4191,0.26010000000000133,-0.1497178394558982,
Viscosity_std_505,p1000,300.0,51.775,13.141,0,5,5,0,True,False,0.8683,22.4191,22.6653,0.2461999999999982,-5.485815194441937,
Viscosity_std_505,p1000,300.0,51.775,13.141,0,5,5,0,True,False,0.8683,22.6653,22.9238,0.2585000000000015,-0.7639448731231498,
Viscosity_std_505,p1000,300.0,51.775,13.141,0,5,5,0,True,False,0.8683,22.9238,23.1838,0.26000000000000156,-0.18810702906001617,
Viscosity_std_505,p1000,300.0,51.775,13.141,0,5,5,0,True,False,0.8683,23.1838,23.4431,0.25929999999999964,-0.45683135629020594,
Viscosity_std_505,p1000,300.0,51.775,13.141,0,5,5,0,True,False,0.8683,23.4431,23.7023,0.2591999999999999,-0.49522054589432396,
