liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value
Viscosity_std_505,p1000,1000,49.50728361,49.50728361,0,5,5,0,-7.382241161,50.39809608,
Viscosity_std_505,p1000,500,49.50728361,49.50728361,0,5,5,0,-8.280548198,50.39809608,
Viscosity_std_505,p1000,300,49.50728361,49.50728361,0,5,5,0,-8.556950363,50.39809608,
Viscosity_std_505,p1000,"mean[300, 500, 1000]",49.50728361,49.50728361,0,5,5,0,-8.073246574,50.39809608,
Viscosity_std_505,p1000,1000,61.88410451,61.88410451,0,5,5,0,-14.89116665,42.31847687,
Viscosity_std_505,p1000,500,61.88410451,61.88410451,0,5,5,0,-8.441782794,42.31847687,
Viscosity_std_505,p1000,300,61.88410451,61.88410451,0,5,5,0,-10.24607471,42.31847687,
Viscosity_std_505,p1000,"mean[300, 500, 1000]",61.88410451,61.88410451,0,5,5,0,-11.19300805,42.31847687,
Viscosity_std_505,p1000,1000,61.88410451,4.950728361,0,5,5,0,-0.345502706,228.1497188,
Viscosity_std_505,p1000,500,61.88410451,4.950728361,0,5,5,0,-2.360935161,228.1497188,
Viscosity_std_505,p1000,300,61.88410451,4.950728361,0,5,5,0,-2.760182733,228.1497188,
Viscosity_std_505,p1000,"mean[300, 500, 1000]",61.88410451,4.950728361,0,5,5,0,-1.822206867,228.1497188,
Viscosity_std_505,p1000,1000,4.950728361,61.88410451,0,5,5,0,-7.382241161,228.1497188,
Viscosity_std_505,p1000,500,4.950728361,61.88410451,0,5,5,0,-3.121041115,228.1497188,
Viscosity_std_505,p1000,300,4.950728361,61.88410451,0,5,5,0,-4.679642213,228.1497188,
Viscosity_std_505,p1000,"mean[300, 500, 1000]",4.950728361,61.88410451,0,5,5,0,-5.06097483,228.1497188,
Viscosity_std_505,p1000,1000,4.950728361,4.950728361,0,5,5,0,2.810088679,413.9809608,
Viscosity_std_505,p1000,500,4.950728361,4.950728361,0,5,5,0,8.372682253,413.9809608,
Viscosity_std_505,p1000,300,4.950728361,4.950728361,0,5,5,0,15.16756881,413.9809608,
Viscosity_std_505,p1000,"mean[300, 500, 1000]",4.950728361,4.950728361,0,5,5,0,-8.783446581,413.9809608,
Viscosity_std_505,p1000,1000,54.63191701,20.70739201,0,5,5,0,-5.53956,76.59625194,26.20749143
Viscosity_std_505,p1000,500,54.63191701,20.70739201,0,5,5,0,-5.009789,76.59625194,26.20749143
Viscosity_std_505,p1000,300,54.63191701,20.70739201,0,5,5,0,-2.337902,76.59625194,26.20749143
Viscosity_std_505,p1000,"mean[300, 500, 1000]",54.63191701,20.70739201,0,5,5,0,-4.295750333,76.59625194,26.20749143
Viscosity_std_505,p1000,1000,45.27297122,13.40582354,0,5,5,0,-3.224692,106.6826819,19.12084219
Viscosity_std_505,p1000,500,45.27297122,13.40582354,0,5,5,0,0.333986,106.6826819,19.12084219
Viscosity_std_505,p1000,300,45.27297122,13.40582354,0,5,5,0,-2.184345,106.6826819,19.12084219
Viscosity_std_505,p1000,"mean[300, 500, 1000]",45.27297122,13.40582354,0,5,5,0,-1.914341,106.6826819,19.12084219
Viscosity_std_505,p1000,1000,51.77477624,13.14127296,0,5,5,0,-1.416561,105.4105532,27.24682618
Viscosity_std_505,p1000,500,51.77477624,13.14127296,0,5,5,0,-0.81769,105.4105532,27.24682618
Viscosity_std_505,p1000,300,51.77477624,13.14127296,0,5,5,0,-0.226496,105.4105532,27.24682618
Viscosity_std_505,p1000,"mean[300, 500, 1000]",51.77477624,13.14127296,0,5,5,0,-0.820249,105.4105532,27.24682618
Viscosity_std_505,p1000,1000,57.95405667,12.2274721,0,5,5,0,-2.717955,109.0381006,21.12567025
Viscosity_std_505,p1000,500,57.95405667,12.2274721,0,5,5,0,-1.715997,109.0381006,21.12567025
Viscosity_std_505,p1000,300,57.95405667,12.2274721,0,5,5,0,-1.685285,109.0381006,21.12567025
Viscosity_std_505,p1000,"mean[300, 500, 1000]",57.95405667,12.2274721,0,5,5,0,-2.039745667,109.0381006,21.12567025
Viscosity_std_505,p1000,1000,44.36430055,11.28424732,0,5,5,0,-0.322469,121.1597602,23.27687145
Viscosity_std_505,p1000,500,44.36430055,11.28424732,0,5,5,0,1.324427,121.1597602,23.27687145
Viscosity_std_505,p1000,300,44.36430055,11.28424732,0,5,5,0,-0.840723,121.1597602,23.27687145
Viscosity_std_505,p1000,"mean[300, 500, 1000]",44.36430055,11.28424732,0,5,5,0,-0.829206333,121.1597602,23.27687145
