liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value
Viscosity_std_1275,p1000,1000,22.0610054,22.0610054,0,5,5,0,-15.93406593,100.65769958063652,
Viscosity_std_1275,p1000,500,22.0610054,22.0610054,0,5,5,0,-29.21245421,100.65769958063652,
Viscosity_std_1275,p1000,300,22.0610054,22.0610054,0,5,5,0,-37.08028083,100.65769958063652,
Viscosity_std_1275,p1000,1000,27.57625675,27.57625675,0,5,5,0,-24.01556777,82.52615966450922,
Viscosity_std_1275,p1000,500,27.57625675,27.57625675,0,5,5,0,-31.52472527,82.52615966450922,
Viscosity_std_1275,p1000,300,27.57625675,27.57625675,0,5,5,0,-34.79090354,82.52615966450922,
Viscosity_std_1275,p1000,1000,27.57625675,2.20610054,0,5,5,0,-4.521520147,499.5515777354372,
Viscosity_std_1275,p1000,500,27.57625675,2.20610054,0,5,5,0,-3.296703297,499.5515777354372,
Viscosity_std_1275,p1000,300,27.57625675,2.20610054,0,5,5,0,5.883699634,499.5515777354372,
Viscosity_std_1275,p1000,1000,2.20610054,27.57625675,0,5,5,0,-9.043040293,499.5515777354372,
Viscosity_std_1275,p1000,500,2.20610054,27.57625675,0,5,5,0,-10.41666667,499.5515777354372,
Viscosity_std_1275,p1000,300,2.20610054,27.57625675,0,5,5,0,-8.73015873,499.5515777354372,
Viscosity_std_1275,p1000,1000,2.206101,2.206101,0,5,5,0,2.003205128,916.5768067735793,
Viscosity_std_1275,p1000,500,2.206101,2.206101,0,5,5,0,3.708791209,916.5768067735793,
Viscosity_std_1275,p1000,300,2.206101,2.206101,0,5,5,0,16.26221001,916.5768067735793,
Viscosity_std_1275,p1000,1000,17.773599037947157,8.753260554728774,0,5,5,0,-11.069139,180.50636821443103,163.73935726335648
Viscosity_std_1275,p1000,500,19.852924187821376,7.019483292641519,0,5,5,0,-7.371795,202.8310417435017,270.8809780991591
Viscosity_std_1275,p1000,300,27.44150533705315,10.158197558816152,0,5,5,0,-24.145299,144.88381068747788,242.99951671271657
Viscosity_std_1275,p1000,1000,10.576051094920539,15.933389124691125,0,5,5,0,-7.989927,167.31453621268957,83.80522252647816
Viscosity_std_1275,p1000,500,12.50178432370894,5.478682927749148,0,5,5,0,-1.602564,272.5142022920121,244.07429791790682
Viscosity_std_1275,p1000,300,18.38830598255889,6.144973915097608,0,5,5,0,-12.736569,227.11700932724247,165.84096244426217
Viscosity_std_1275,p1000,1000,5.92352148362237,12.405279943297414,0,5,5,0,-3.846154,259.4293350890472,57.07407472083279
Viscosity_std_1275,p1000,500,9.544852228798344,10.359427761328668,0,5,5,0,-6.6163,211.2989440597422,138.05375641468632
Viscosity_std_1275,p1000,300,5.766142687903186,18.9395690996479,0,5,5,0,-16.704823,236.22567439551534,104.45260531109209
Viscosity_std_1275,p1000,1000,7.477992272645246,9.550621918548993,0,5,5,0,-1.488095,248.43095649718597,55.57237936422398
Viscosity_std_1275,p1000,500,10.188814449719121,5.016588307995954,0,5,5,0,-0.984432,307.485507509713,94.18581139049348
Viscosity_std_1275,p1000,300,15.258025287427646,4.582396281265974,0,5,5,0,-26.09127,293.76571463270056,67.43764798599568
Viscosity_std_1275,p1000,1000,7.974510526859313,6.725232178754021,0,5,5,0,5.414377,284.0932971930708,53.75761927703519
Viscosity_std_1275,p1000,500,10.869956023539821,5.0638282401375765,0,5,5,0,-0.663919,299.4757442659343,47.23885390995497
Viscosity_std_1275,p1000,300,9.548497604760668,25.79244164013729,0,5,5,0,-26.70177,153.49956593376487,66.81512464688974
