liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value,Iteration
Viscosity_std_1275,p1000,1000,22.0610054,22.0610054,0,5,5,0,-15.93406593,100.6576996,,1
Viscosity_std_1275,p1000,500,22.0610054,22.0610054,0,5,5,0,-29.21245421,100.6576996,,1
Viscosity_std_1275,p1000,300,22.0610054,22.0610054,0,5,5,0,-37.08028083,100.6576996,,1
Viscosity_std_1275,p1000,1000,27.57625675,27.57625675,0,5,5,0,-24.01556777,82.52615966,,2
Viscosity_std_1275,p1000,500,27.57625675,27.57625675,0,5,5,0,-31.52472527,82.52615966,,2
Viscosity_std_1275,p1000,300,27.57625675,27.57625675,0,5,5,0,-34.79090354,82.52615966,,2
Viscosity_std_1275,p1000,1000,27.57625675,2.20610054,0,5,5,0,-4.521520147,499.5515777,,3
Viscosity_std_1275,p1000,500,27.57625675,2.20610054,0,5,5,0,-3.296703297,499.5515777,,3
Viscosity_std_1275,p1000,300,27.57625675,2.20610054,0,5,5,0,5.883699634,499.5515777,,3
Viscosity_std_1275,p1000,1000,2.20610054,27.57625675,0,5,5,0,-9.043040293,499.5515777,,4
Viscosity_std_1275,p1000,500,2.20610054,27.57625675,0,5,5,0,-10.41666667,499.5515777,,4
Viscosity_std_1275,p1000,300,2.20610054,27.57625675,0,5,5,0,-8.73015873,499.5515777,,4
Viscosity_std_1275,p1000,1000,2.206101,2.206101,0,5,5,0,2.003205128,916.5768068,,5
Viscosity_std_1275,p1000,500,2.206101,2.206101,0,5,5,0,3.708791209,916.5768068,,5
Viscosity_std_1275,p1000,300,2.206101,2.206101,0,5,5,0,16.26221001,916.5768068,,5
Viscosity_std_1275,p1000,1000,17.77359904,8.753260555,0,5,5,0,-11.069139,180.5063682,163.7393573,6
Viscosity_std_1275,p1000,500,19.85292419,7.019483293,0,5,5,0,-7.371795,202.8310417,270.8809781,6
Viscosity_std_1275,p1000,300,27.44150534,10.15819756,0,5,5,0,-24.145299,144.8838107,242.9995167,6
Viscosity_std_1275,p1000,1000,10.57605109,15.93338912,0,5,5,0,-7.989927,167.3145363,83.80522253,7
Viscosity_std_1275,p1000,500,12.50178432,5.478682928,0,5,5,0,-1.602564,272.5142023,244.0742979,7
Viscosity_std_1275,p1000,300,18.38830598,6.144973915,0,5,5,0,-12.736569,227.1170093,165.8409624,7
Viscosity_std_1275,p1000,1000,5.923521484,12.40527994,0,5,5,0,-3.846154,259.4293351,57.07407472,8
Viscosity_std_1275,p1000,500,9.544852229,10.35942776,0,5,5,0,-6.6163,211.2989441,138.0537564,8
Viscosity_std_1275,p1000,300,5.766142688,18.9395691,0,5,5,0,-16.704823,236.2256744,104.4526053,8
Viscosity_std_1275,p1000,1000,7.477992273,9.550621919,0,5,5,0,-1.488095,248.4309565,55.57237936,9
Viscosity_std_1275,p1000,500,10.18881445,5.016588308,0,5,5,0,-0.984432,307.4855075,94.18581139,9
Viscosity_std_1275,p1000,300,15.25802529,4.582396281,0,5,5,0,-5.830281,293.7657146,67.43764799,9
Viscosity_std_1275,p1000,1000,7.974510527,6.725232179,0,5,5,0,5.414377,284.0932972,53.75761928,10
Viscosity_std_1275,p1000,500,10.86995602,5.06382824,0,5,5,0,-0.663919,299.4757443,47.23885391,10
Viscosity_std_1275,p1000,300,12.30198169,7.362743795,0,5,5,0,-9.22619,227.1066487,75.0566739,10
Viscosity_std_1275,p1000,1000,5.712089484,8.984055091,0,5,5,0,-1.018773,296.3755966,27.04950127,11
Viscosity_std_1275,p1000,500,8.511186553,5.359354482,0,5,5,0,2.907509,314.0820668,27.23638443,11
Viscosity_std_1275,p1000,300,11.99081075,6.090407376,0,5,5,0,-4.151404,257.5898257,73.96397429,11
Viscosity_std_1275,p1000,1000,4.468908026,17.06803407,0,5,5,0,-4.887821,292.3573665,31.23153239,12
Viscosity_std_1275,p1000,500,27.4235958,10.13501029,0,5,5,0,-18.795788,145.1328303,35.97302084,12
Viscosity_std_1275,p1000,300,13.93743368,4.916205885,0,5,5,0,-5.372405,285.158114,109.5769999,12
Viscosity_std_1275,p1000,1000,5.214087661,11.4895501,0,5,5,0,-0.812729,288.8237164,28.8449046,13
Viscosity_std_1275,p1000,500,15.62071945,5.253311313,0,5,5,0,-3.525641,264.3736658,62.5621167,13
Viscosity_std_1275,p1000,300,9.603796209,6.357537128,0,5,5,0,-3.350122,271.4191069,153.1059147,13
Viscosity_std_1275,p1000,1000,4.416201163,6.749343906,0,5,5,0,2.483974,384.6015098,35.65708088,14
Viscosity_std_1275,p1000,500,5.186017056,19.01055859,0,5,5,0,-7.806777,255.4285543,27.24544308,14
Viscosity_std_1275,p1000,300,11.62269413,5.604710179,0,5,5,0,-5.028999,274.4599293,257.9848242,14
Viscosity_std_1275,p1000,1000,26.85374792,10.49209807,0,5,5,0,-14.503205,142.5485718,17.41760589,15
Viscosity_std_1275,p1000,500,9.548497605,25.79244164,0,5,5,0,-13.736264,153.4995659,27.72220964,15
Viscosity_std_1275,p1000,300,6.370790305,9.721723712,0,5,5,0,-3.083028,269.8288141,127.2364665,15
Viscosity_std_1275,p1000,300,7.974510527,6.725232179,0,5,5,0,-3.121184,284.0932972,95.14028236,16
Viscosity_std_1275,p1000,300,4.607483851,12.06251353,0,5,5,0,-7.776252,309.9396611,107.4170184,17
Viscosity_std_1275,p1000,300,7.276960781,8.435313408,0,5,5,0,-3.464591,265.9692476,69.96131334,18
Viscosity_std_1275,p1000,300,10.44066073,4.763605339,0,5,5,0,-2.052808,315.7044103,59.51232456,19
