liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value
Viscosity_std_204,p1000,1000,89.91195205,89.91195205,0,5,5,0,-10.0474592,32.24398375,
Viscosity_std_204,p1000,500,89.91195205,89.91195205,0,5,5,0,-5.313114944,32.24398375,
Viscosity_std_204,p1000,300,89.91195205,89.91195205,0,5,5,0,-5.698962071,32.24398375,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",89.91195205,89.91195205,0,5,5,0,-7.019845405,32.24398375,
Viscosity_std_204,p1000,1000,112.3899401,8.991195205,0,5,5,0,2.812825559,130.1175122,
Viscosity_std_204,p1000,500,112.3899401,8.991195205,0,5,5,0,4.734344253,130.1175122,
Viscosity_std_204,p1000,300,112.3899401,8.991195205,0,5,5,0,3.599953698,130.1175122,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",112.3899401,8.991195205,0,5,5,0,-3.715707837,130.1175122,
Viscosity_std_204,p1000,1000,112.3899401,112.3899401,0,5,5,0,-12.02685496,27.79518699,
Viscosity_std_204,p1000,500,112.3899401,112.3899401,0,5,5,0,-7.211482811,27.79518699,
Viscosity_std_204,p1000,300,112.3899401,112.3899401,0,5,5,0,-4.232742987,27.79518699,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",112.3899401,112.3899401,0,5,5,0,-7.823693586,27.79518699,
Viscosity_std_204,p1000,1000,8.991195205,112.3899401,0,5,5,0,-11.19342516,130.1175122,
Viscosity_std_204,p1000,500,8.991195205,112.3899401,0,5,5,0,-8.160666744,130.1175122,
Viscosity_std_204,p1000,300,8.991195205,112.3899401,0,5,5,0,-2.071999074,130.1175122,
Viscosity_std_204,p1000,"mean[100, 500, 1000]",8.991195205,112.3899401,0,5,5,0,-7.142030326,130.1175122,
Viscosity_std_204,p1000,1000,8.991195205,8.991195205,0,5,5,0,3.055909249,232.4398375,
Viscosity_std_204,p1000,500,8.991195205,8.991195205,0,5,5,0,5.15105915,232.4398375,
