liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000
Viscosity_std_505,p1000,1000,43.0,43.0,0,5,5,0,-3.650811931,56.51162790697674
Viscosity_std_505,p1000,500,43.0,43.0,0,5,5,0,-3.328342739,56.51162790697674
Viscosity_std_505,p1000,100,43.0,43.0,0,5,5,0,6.64516872,56.51162790697674
Viscosity_std_505,p1000,1000,49.45,45.15,0,5,5,0,-2.856155707,52.37084115749434
Viscosity_std_505,p1000,500,49.45,45.15,0,5,5,0,-6.668202234,52.37084115749434
Viscosity_std_505,p1000,100,49.45,45.15,0,5,5,0,5.838995739,52.37084115749434
Viscosity_std_505,p1000,1000,38.7,49.45,0,5,5,0,-2.119083266,56.06224019773059
Viscosity_std_505,p1000,500,38.7,49.45,0,5,5,0,-5.378325464,56.06224019773059
Viscosity_std_505,p1000,100,38.7,49.45,0,5,5,0,5.608660601,56.06224019773059
Viscosity_std_505,p1000,1000,49.46,36.55,0,5,5,0,-2.234250835,57.57813939105956
Viscosity_std_505,p1000,500,49.46,36.55,0,5,5,0,-1.969365427,57.57813939105956
Viscosity_std_505,p1000,100,49.46,36.55,0,5,5,0,10.56086606,57.57813939105956
Viscosity_std_505,p1000,1000,13.864557082019747,53.62088729897514,0,5,5,0,-0.621905,100.77580639491163
Viscosity_std_505,p1000,1000,9.278856264846398,39.33410136587918,0,5,5,0,-0.437637,143.19513568132365
Viscosity_std_505,p1000,1000,13.85769700501114,10.830516338022425,0,5,5,0,-4.629736,174.4937640399978
Viscosity_std_505,p1000,1000,19.217200161563234,47.81517301858403,0,5,5,0,-0.978924,82.95058013372628
Viscosity_std_505,p1000,1000,11.682749796891585,48.49324578042142,0,5,5,0,-3.812047,116.21771509709828
