liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value
Viscosity_std_505,p1000,1000,49.50728361,49.50728361,0,5,5,0,-3.570194633,50.39809608128083,
Viscosity_std_505,p1000,500,49.50728361,49.50728361,0,5,5,0,-8.303581711,50.39809608128083,
Viscosity_std_505,p1000,300,49.50728361,49.50728361,0,5,5,0,-9.171177396,50.39809608128083,
Viscosity_std_505,p1000,1000,61.88410451,4.950728361,0,5,5,0,-1.094091904,228.14971883956932,
Viscosity_std_505,p1000,500,61.88410451,4.950728361,0,5,5,0,-2.222734078,228.14971883956932,
Viscosity_std_505,p1000,300,61.88410451,4.950728361,0,5,5,0,-2.952128681,228.14971883956932,
Viscosity_std_505,p1000,1000,4.950728361,4.950728361,0,5,5,0,2.671887596,413.98096081280835,
Viscosity_std_505,p1000,500,4.950728361,4.950728361,0,5,5,0,8.142347115,413.98096081280835,
Viscosity_std_505,p1000,300,4.950728361,4.950728361,0,5,5,0,15.09079043,413.98096081280835,
Viscosity_std_505,p1000,1000,4.950728361,61.88410451,0,5,5,0,-0.345502706,228.14971883956932,
Viscosity_std_505,p1000,500,4.950728361,61.88410451,0,5,5,0,-3.167108142,228.14971883956932,
Viscosity_std_505,p1000,300,4.950728361,61.88410451,0,5,5,0,-1.147836769,228.14971883956932,
Viscosity_std_505,p1000,1000,61.88410451,61.88410451,0,5,5,0,-5.090406542,42.31847686633027,
Viscosity_std_505,p1000,500,61.88410451,61.88410451,0,5,5,0,-8.672117932,42.31847686633027,
Viscosity_std_505,p1000,300,61.88410451,61.88410451,0,5,5,0,-14.85277746,42.31847686633027,
