liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value
Viscosity_std_505,p1000,1000,49.50728361,49.50728361,0,5,5,0,-7.382241161,50.39809608128083,
Viscosity_std_505,p1000,500,49.50728361,49.50728361,0,5,5,0,-8.280548198,50.39809608128083,
Viscosity_std_505,p1000,300,49.50728361,49.50728361,0,5,5,0,-8.556950363,50.39809608128083,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",49.50728361,49.50728361,0,5,5,0,-8.073246574,50.39809608128083,
Viscosity_std_505,p1000,1000,61.88410451,4.950728361,0,5,5,0,-0.345502706,228.14971883956932,
Viscosity_std_505,p1000,500,61.88410451,4.950728361,0,5,5,0,-2.360935161,228.14971883956932,
Viscosity_std_505,p1000,300,61.88410451,4.950728361,0,5,5,0,-2.760182733,228.14971883956932,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",61.88410451,4.950728361,0,5,5,0,-1.8222068666666669,228.14971883956932,
Viscosity_std_505,p1000,1000,4.950728361,4.950728361,0,5,5,0,2.810088679,413.98096081280835,
Viscosity_std_505,p1000,500,4.950728361,4.950728361,0,5,5,0,8.372682253,413.98096081280835,
Viscosity_std_505,p1000,300,4.950728361,4.950728361,0,5,5,0,15.16756881,413.98096081280835,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",4.950728361,4.950728361,0,5,5,0,-8.783446580666668,413.98096081280835,
Viscosity_std_505,p1000,1000,4.950728361,61.88410451,0,5,5,0,-7.382241161,228.14971883956932,
Viscosity_std_505,p1000,500,4.950728361,61.88410451,0,5,5,0,-3.121041115,228.14971883956932,
Viscosity_std_505,p1000,300,4.950728361,61.88410451,0,5,5,0,-4.679642213,228.14971883956932,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",4.950728361,61.88410451,0,5,5,0,-5.060974829666667,228.14971883956932,
Viscosity_std_505,p1000,1000,61.88410451,61.88410451,0,5,5,0,-14.89116665,42.31847686633027,
Viscosity_std_505,p1000,500,61.88410451,61.88410451,0,5,5,0,-8.441782794,42.31847686633027,
Viscosity_std_505,p1000,300,61.88410451,61.88410451,0,5,5,0,-10.24607471,42.31847686633027,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",61.88410451,61.88410451,0,5,5,0,-11.193008051333335,42.31847686633027,
Viscosity_std_505,p1000,1000,54.631917008164876,20.70739200875353,0,5,5,0,-5.53956,76.59625193597267,
Viscosity_std_505,p1000,500,54.631917008164876,20.70739200875353,0,5,5,0,-5.009789,76.59625193597267,
Viscosity_std_505,p1000,300,54.631917008164876,20.70739200875353,0,5,5,0,-2.337902,76.59625193597267,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",54.631917008164876,20.70739200875353,0,5,5,0,-4.295750333333333,76.59625193597267,
Viscosity_std_505,p1000,1000,45.272971217858625,13.40582354195009,0,5,5,0,-3.224692,106.6826818651895,
Viscosity_std_505,p1000,500,45.272971217858625,13.40582354195009,0,5,5,0,0.333986,106.6826818651895,
Viscosity_std_505,p1000,300,45.272971217858625,13.40582354195009,0,5,5,0,-2.184345,106.6826818651895,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",45.272971217858625,13.40582354195009,0,5,5,0,-1.914341,106.6826818651895,
Viscosity_std_505,p1000,1000,51.77477623786529,13.141272961397085,0,5,5,0,-1.416561,105.41055318171081,
Viscosity_std_505,p1000,500,51.77477623786529,13.141272961397085,0,5,5,0,-0.81769,105.41055318171081,
Viscosity_std_505,p1000,300,51.77477623786529,13.141272961397085,0,5,5,0,-0.226496,105.41055318171081,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",51.77477623786529,13.141272961397085,0,5,5,0,-0.820249,105.41055318171081,
Viscosity_std_505,p1000,1000,57.954056669626915,12.227472103003116,0,5,5,0,-2.717955,109.03810056595722,
Viscosity_std_505,p1000,500,57.954056669626915,12.227472103003116,0,5,5,0,-1.715997,109.03810056595722,
Viscosity_std_505,p1000,300,57.954056669626915,12.227472103003116,0,5,5,0,-1.685285,109.03810056595722,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",57.954056669626915,12.227472103003116,0,5,5,0,-2.0397456666666667,109.03810056595722,
Viscosity_std_505,p1000,1000,44.364300547278845,11.28424731692742,0,5,5,0,-0.322469,121.15976019727553,
Viscosity_std_505,p1000,500,44.364300547278845,11.28424731692742,0,5,5,0,1.324427,121.15976019727553,
Viscosity_std_505,p1000,300,44.364300547278845,11.28424731692742,0,5,5,0,-0.840723,121.15976019727553,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",44.364300547278845,11.28424731692742,0,5,5,0,-0.8292063333333334,121.15976019727553,
