liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value
Viscosity_std_505,p1000,1000,43.0,43.0,0,5,5,0,-3.650811931,56.51162790697674,
Viscosity_std_505,p1000,500,43.0,43.0,0,5,5,0,-3.328342739,56.51162790697674,
Viscosity_std_505,p1000,100,43.0,43.0,0,5,5,0,6.64516872,56.51162790697674,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",43.0,43.0,0,5,5,0,-4.54144113,56.51162790697674,
Viscosity_std_505,p1000,1000,49.45,45.15,0,5,5,0,-2.856155707,52.37084115749434,
Viscosity_std_505,p1000,500,49.45,45.15,0,5,5,0,-6.668202234,52.37084115749434,
Viscosity_std_505,p1000,100,49.45,45.15,0,5,5,0,5.838995739,52.37084115749434,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",49.45,45.15,0,5,5,0,-5.1211178933333334,52.37084115749434,
Viscosity_std_505,p1000,1000,38.7,49.45,0,5,5,0,-2.119083266,56.06224019773059,
Viscosity_std_505,p1000,500,38.7,49.45,0,5,5,0,-5.378325464,56.06224019773059,
Viscosity_std_505,p1000,100,38.7,49.45,0,5,5,0,5.608660601,56.06224019773059,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",38.7,49.45,0,5,5,0,-4.368689777,56.06224019773059,
Viscosity_std_505,p1000,1000,49.46,36.55,0,5,5,0,-2.234250835,57.57813939105956,
Viscosity_std_505,p1000,500,49.46,36.55,0,5,5,0,-1.969365427,57.57813939105956,
Viscosity_std_505,p1000,100,49.46,36.55,0,5,5,0,10.56086606,57.57813939105956,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",49.46,36.55,0,5,5,0,-4.921494107333333,57.57813939105956,
Viscosity_std_505,p1000,1000,33.12753238864243,33.3664318036288,0,5,5,0,0.921341,70.15661243935513,
Viscosity_std_505,p1000,500,33.12753238864243,33.3664318036288,0,5,5,0,0.310952,70.15661243935513,
Viscosity_std_505,p1000,100,33.12753238864243,33.3664318036288,0,5,5,0,2.959807,70.15661243935513,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",33.12753238864243,33.3664318036288,0,5,5,0,-1.3973666666666666,70.15661243935513,
Viscosity_std_505,p1000,1000,22.483779956400394,26.60146006788127,0,5,5,0,1.485662,92.06842870092989,
Viscosity_std_505,p1000,500,22.483779956400394,26.60146006788127,0,5,5,0,1.094092,92.06842870092989,
Viscosity_std_505,p1000,100,22.483779956400394,26.60146006788127,0,5,5,0,3.190142,92.06842870092989,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",22.483779956400394,26.60146006788127,0,5,5,0,-1.9232986666666667,92.06842870092989,
Viscosity_std_505,p1000,1000,30.591717898799104,22.422542844712734,0,5,5,0,0.771623,87.28656072047494,
Viscosity_std_505,p1000,500,30.591717898799104,22.422542844712734,0,5,5,0,1.393528,87.28656072047494,
Viscosity_std_505,p1000,100,30.591717898799104,22.422542844712734,0,5,5,0,2.614304,87.28656072047494,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",30.591717898799104,22.422542844712734,0,5,5,0,-1.5931516666666667,87.28656072047494,
Viscosity_std_505,p1000,1000,26.79804081725888,31.686062743933867,0,5,5,0,0.898307,78.87577765021585,
Viscosity_std_505,p1000,500,26.79804081725888,31.686062743933867,0,5,5,0,0.103651,78.87577765021585,
Viscosity_std_505,p1000,100,26.79804081725888,31.686062743933867,0,5,5,0,3.074974,78.87577765021585,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",26.79804081725888,31.686062743933867,0,5,5,0,-1.3589773333333335,78.87577765021585,
Viscosity_std_505,p1000,1000,13.24069946538657,49.656212167954074,0,5,5,0,-1.186226,105.66317815720288,
Viscosity_std_505,p1000,500,13.24069946538657,49.656212167954074,0,5,5,0,-1.923298,105.66317815720288,
Viscosity_std_505,p1000,100,13.24069946538657,49.656212167954074,0,5,5,0,7.221,105.66317815720288,
Viscosity_std_505,p1000,"mean[100, 500, 1000]",13.24069946538657,49.656212167954074,0,5,5,0,-3.443508,105.66317815720288,
