,liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
0,Viscosity_std_1275,p1000,1000.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,270.2104752063751,21.226,22.2261,0.8635999999999981,-1.1446886446888616,Within Tolerance,
1,Viscosity_std_1275,p1000,1000.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,270.25144052505493,22.2261,23.0892,0.8631000000000029,-1.2019230769227538,Within Tolerance,
2,Viscosity_std_1275,p1000,1000.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,270.27673292160034,23.0892,23.9328,0.8435999999999986,-3.434065934066102,Within Tolerance,
3,Viscosity_std_1275,p1000,1000.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,270.44166016578674,27.3766,28.2427,0.8660999999999994,-0.8585164835165542,Within Tolerance,
4,Viscosity_std_1275,p1000,1000.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,270.4548909664154,28.2427,29.1079,0.8652000000000015,-0.9615384615382921,Within Tolerance,
5,Viscosity_std_1275,p1000,1000.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,270.52724266052246,29.1079,29.9668,0.8588999999999984,-1.682692307692491,Within Tolerance,
6,Viscosity_std_1275,p1000,1000.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,270.54941296577454,29.9668,30.8367,0.8699000000000012,-0.4235347985346629,Within Tolerance,
7,Viscosity_std_1275,p1000,1000.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,270.626766204834,30.8367,31.6941,0.8573999999999984,-1.854395604395794,Within Tolerance,
8,Viscosity_std_1275,p1000,1000.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,270.60876536369324,31.6941,32.5609,0.8667999999999978,-0.7783882783885357,Within Tolerance,
9,Viscosity_std_1275,p1000,1000.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,270.6279549598694,32.5609,33.423,0.8621000000000052,-1.3163919413913516,Within Tolerance,
10,Viscosity_std_1275,p1000,500.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,144.20584225654602,22.3984,22.8321,0.43370000000000175,-0.7097069597065638,Within Tolerance,
11,Viscosity_std_1275,p1000,500.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,144.26849484443665,22.8321,23.2586,0.42650000000000077,-2.358058608058437,Within Tolerance,
12,Viscosity_std_1275,p1000,500.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,144.2460970878601,23.2586,23.6868,0.42820000000000036,-1.9688644688643917,Within Tolerance,
13,Viscosity_std_1275,p1000,500.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,144.2838695049286,23.6868,24.1164,0.4295999999999971,-1.6483516483523184,Within Tolerance,
14,Viscosity_std_1275,p1000,500.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,144.25471997261047,24.1164,24.5446,0.42820000000000036,-1.9688644688643917,Within Tolerance,
15,Viscosity_std_1275,p1000,500.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,144.28697228431702,24.5446,24.9688,0.4242000000000026,-2.8846153846147997,Within Tolerance,
16,Viscosity_std_1275,p1000,500.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,144.32136583328247,24.9688,25.3897,0.4208999999999996,-3.6401098901099846,Within Tolerance,
17,Viscosity_std_1275,p1000,500.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,144.33714413642883,25.3897,25.8108,0.42109999999999914,-3.594322344322545,Within Tolerance,
18,Viscosity_std_1275,p1000,500.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,144.34073948860168,25.8108,26.232,0.4211999999999989,-3.571428571428826,Within Tolerance,
19,Viscosity_std_1275,p1000,500.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,144.38363599777222,26.232,26.6565,0.4245000000000019,-2.815934065933641,Within Tolerance,
20,Viscosity_std_1275,p1000,300.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,94.18188619613647,26.6565,26.9016,0.2450999999999972,-6.478937728938806,Incomplete Aspiration and Dispense,
21,Viscosity_std_1275,p1000,300.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,94.13842725753784,26.9016,27.1536,0.25200000000000244,-3.846153846152926,Within Tolerance,
22,Viscosity_std_1275,p1000,300.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,94.12614512443542,27.1536,27.4002,0.24660000000000082,-5.906593406593107,Incomplete Aspiration and Dispense,
23,Viscosity_std_1275,p1000,300.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,94.17202663421631,27.4002,27.646,0.24579999999999913,-6.211843711844056,Incomplete Aspiration and Dispense,
24,Viscosity_std_1275,p1000,300.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,94.15473890304565,27.646,27.8966,0.2505999999999986,-4.380341880342427,Within Tolerance,
25,Viscosity_std_1275,p1000,300.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,94.16936945915222,27.8966,28.1448,0.24820000000000064,-5.296092796092563,Incomplete Aspiration and Dispense,
26,Viscosity_std_1275,p1000,300.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,94.19737434387207,28.1448,28.3909,0.24609999999999843,-6.097374847375459,Incomplete Aspiration and Dispense,
27,Viscosity_std_1275,p1000,300.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,94.18467450141907,28.3909,28.6405,0.24960000000000093,-4.761904761904419,Within Tolerance,
28,Viscosity_std_1275,p1000,300.0,7.436111,8.80883,0,5,5,0,True,False,0.8736,94.19926500320435,28.6405,28.8822,0.24170000000000158,-7.7762515262509355,Incomplete Aspiration and Dispense,
