liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_204.8,p1000,1000.0,70.0,70.0,0.0,0.0,0.0,0.0,True,False,0.8639,34.2157769203186,20.1254,20.9002,0.7748000000000026,-10.313693714549995,Incomplete Dispense,
Viscosity_std_204,p1000,1000.0,84.00000000000004,35.0,0.0,0.0,0.0,0.0,True,False,0.8639,46.5777735710144,27.4372,28.2289,0.7916999999999987,-8.357448778793989,incomplete aspiration,
Viscosity_std_204,p1000,1000.0,84.00000000000004,49.00000000000002,0.0,0.0,0.0,0.0,True,False,0.8639,37.467547178268426,28.2289,29.0046,0.7757000000000005,-10.209514990160839,incomplete aspiration and dispense,
Viscosity_std_204,p1000,500.0,70.0,70.0,0.0,0.0,0.0,0.0,True,False,0.8639,20.016029119491577,20.9853,21.3296,0.3443000000000005,-20.291700428290195,incomplete aspiration,
Viscosity_std_204,p1000,100.0,70.0,70.0,0.0,0.0,0.0,0.0,True,False,0.8639,7.86478590965271,21.3296,21.3654,0.03580000000000183,-58.56001852065999,incomplete aspiration,
Viscosity_std_204,p1000,500.0,84.0,35.0,0.0,0.0,0.0,0.0,True,False,0.8639,25.377249479293823,21.3654,21.7225,0.3570999999999991,-17.328394490103232,incomplete aspiration,
Viscosity_std_204,p1000,100.0,84.0,35.0,0.0,0.0,0.0,0.0,True,False,0.8639,9.11164379119873,21.7225,21.7749,0.05239999999999867,-39.34483157773043,incomplete aspiration,
Viscosity_std_204,p1000,500.0,84.0,49.0,0.0,0.0,0.0,0.0,True,False,0.8639,21.14598250389099,21.7749,22.1164,0.3414999999999999,-20.939923602268802,incomplete aspiration,
Viscosity_std_204,p1000,100.0,84.0,49.0,0.0,0.0,0.0,0.0,True,False,0.8639,8.265458583831787,22.1164,22.1531,0.03669999999999973,-57.51823127676844,incomplete aspiration,
Viscosity_std_204,p1000,1000.0,52.500000000000014,73.50000000000003,59.50000000000002,0.0,0.0,0.0,True,False,0.8639,40.013142347335815,22.1531,22.9698,0.8167000000000009,-5.463595323532715,incomplete aspiration,
Viscosity_std_204,p1000,500.0,52.5,73.5,59.5,0.0,0.0,0.0,True,False,0.8639,24.4813129901886,22.9698,23.4233,0.4535000000000018,4.989003356870422,excess aspiration and dispense,
Viscosity_std_204,p1000,100.0,52.5,73.5,59.5,0.0,0.0,0.0,True,False,0.8639,11.471138000488281,23.4233,23.5289,0.10559999999999903,22.2363699502246,excess aspiration and dispense,
Viscosity_std_204,p1000,1000.0,87.50000000000004,56.00000000000002,80.50000000000004,0.0,0.0,0.0,True,False,0.8639,36.89765906333923,23.529,24.3216,0.7926000000000002,-8.253270054404423,incomplete aspiration,
Viscosity_std_204,p1000,500.0,87.5,56.0,80.5,0.0,0.0,0.0,True,False,0.8639,22.240179300308228,24.3216,24.7294,0.40779999999999816,-5.590924875564727,incomplete aspiration,
Viscosity_std_204,p1000,100.0,87.5,56.0,80.5,0.0,0.0,0.0,True,False,0.8639,10.570651292800903,24.7294,24.8294,0.10000000000000142,15.754138210442672,excess aspiration,
Viscosity_std_204,p1000,1000.0,49.000000000000014,52.500000000000014,63.00000000000003,0.0,0.0,0.0,True,False,0.8639,47.64399433135986,24.8295,25.6661,0.8366000000000007,-3.1600879731449614,incomplete aspiration,
Viscosity_std_204,p1000,500.0,49.0,52.5,63.0,0.0,0.0,0.0,True,False,0.8639,27.943100929260254,25.6661,26.1114,0.4452999999999996,3.0906354902186792,excess aspiration,
Viscosity_std_204,p1000,100.0,49.0,52.5,63.0,0.0,0.0,0.0,True,False,0.8639,12.193673133850098,26.1114,26.2197,0.10829999999999984,25.361731681907447,excess aspiration,
