liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected
Viscosity_std_28.53,28.53,28.53,28.53,p1000,1000,155,155,0,0,0,0,TRUE,FALSE,18.47883177,-1.73553719,0.8323,0.847
Viscosity_std_28.53,28.53,28.53,28.53,p1000,1000,155,155,0,0,2,0,TRUE,FALSE,19.76425695,0.885478158,0.8545,0.847
Viscosity_std_28.53,28.53,28.53,28.53,p1000,1000,155,155,0,0,2,0,TRUE,FALSE,19.84146094,0.80283353,0.8538,0.847
Viscosity_std_28.53,28.53,28.53,28.53,p1000,500,155,155,0,0,2,0,TRUE,FALSE,13.3760891,2.361275089,0.4335,0.4235
Viscosity_std_28.53,28.53,28.53,28.53,p1000,500,157,155,0,0,2,0,TRUE,FALSE,13.33802581,2.384887839,0.4336,0.4235
Viscosity_std_28.53,28.53,28.53,28.53,p1000,500,160,155,0,0,2,0,TRUE,FALSE,13.29165506,2.40850059,0.4337,0.4235
Viscosity_std_28.53,28.53,28.53,28.53,p1000,500,155,155,0,0,0,0,TRUE,FALSE,11.40050983,-0.613931523,0.4209,0.4235
Viscosity_std_28.53,28.53,28.53,28.53,p1000,500,155,155,0,0,0,0,TRUE,FALSE,11.43302941,-0.637544274,0.4208,0.4235
Viscosity_std_28.53,28.53,28.53,28.53,p1000,500,155,155,0,0,0,0,TRUE,FALSE,11.4291153,-0.731995277,0.4204,0.4235
Viscosity_std_28.53,28.53,28.53,28.53,p1000,300,155,155,0,0,0,0,TRUE,FALSE,8.866549969,-0.669027942,0.2524,0.2541
Viscosity_std_28.53,28.53,28.53,28.53,p1000,300,155,155,0,0,0,0,TRUE,FALSE,8.895283937,-0.708382527,0.2523,0.2541
Viscosity_std_28.53,28.53,28.53,28.53,p1000,300,155,155,0,0,0,0,TRUE,FALSE,8.947969198,-0.747737111,0.2522,0.2541
Viscosity_std_28.53,28.53,28.53,28.53,p1000,1000,155,155,0,2,0,0,TRUE,FALSE,19.65514016,1.121605667,0.8565,0.847
Viscosity_std_28.53,28.53,28.53,28.53,p1000,500,155,155,0,2,0,0,TRUE,FALSE,13.24742079,-0.25974026,0.4224,0.4235
Viscosity_std_28.53,28.53,28.53,28.53,p1000,1000,155,155,0,2,0,0,TRUE,FALSE,19.84908223,-0.38961039,0.8437,0.847
Viscosity_std_28.53,28.53,28.53,28.53,p1000,1000,155,155,0,2,0,0,TRUE,FALSE,19.89985013,-0.425029516,0.8434,0.847
Viscosity_std_28.53,28.53,28.53,28.53,p1000,1000,155,155,0,2,0,0,TRUE,FALSE,19.94921517,-0.354191263,0.844,0.847
Viscosity_std_28.53,28.53,28.53,28.53,p1000,500,155,155,0,2,0,0,TRUE,FALSE,13.51652241,-0.448642267,0.4216,0.4235
