liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.3881847858429,23.7288,24.5018,0.7729999999999997,-11.515567765567805,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.42957878112793,24.5018,25.285,0.7832000000000008,-10.347985347985263,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,26.4,24.3,0,0.1,2.9,0,True,False,0.8736,88.46696615219116,25.285,25.9117,0.6266999999999996,-28.26236263736269,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.52372026443481,26.6457,27.4377,0.791999999999998,-9.34065934065957,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,26.4,21.3,0,5.2,4.1,0,True,False,0.8736,100.91578197479248,21.7123,22.4427,0.7303999999999995,-16.391941391941454,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.3129494190216,22.4427,23.2318,0.7891000000000012,-9.672619047618909,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,26.4,14.5,0,3.9,0.1,0,True,False,0.8736,118.83176898956299,23.2318,23.9456,0.7137999999999991,-18.29212454212465,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.42502355575562,23.9456,24.7241,0.7785000000000011,-10.885989010988892,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,26.3,14.8,0,5.6,0.6,0,True,False,0.8736,118.90921425819397,24.7241,25.4589,0.7347999999999999,-15.888278388278405,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,17.0,24.6,0,3.1,2.5,0,True,False,0.8736,112.2836561203003,25.4589,26.1764,0.7175000000000011,-17.868589743589617,incomplete aspiration and dispense,
