liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.34373950958252,21.5239,22.3639,0.8399999999999999,-3.846153846153867,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,23.4,12.8,0,3.9,3.7,0,True,False,0.8736,134.635915517807,22.3639,23.0988,0.7348999999999997,-15.876831501831546,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.1,8.3,0,5.2,3.2,0,True,False,0.8736,215.12718224525452,23.0988,23.9299,0.8310999999999993,-4.864926739926827,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.22379732131958,23.9299,24.7358,0.8059000000000012,-7.749542124541995,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.25535583496094,24.7358,25.5476,0.8117999999999981,-7.074175824176049,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.30070638656616,25.5476,26.3617,0.8140999999999998,-6.81089743589746,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.31106805801392,26.3617,27.1806,0.8188999999999993,-6.261446886446972,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.34893703460693,27.1806,27.9956,0.8150000000000013,-6.707875457875316,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.1362442970276,22.1937,22.9941,0.8003999999999998,-8.37912087912091,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.14569783210754,22.9941,23.7951,0.8010000000000019,-8.310439560439344,incomplete aspiration and dispense,
