liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.2994077205658,21.8715,22.6573,0.7857999999999983,-10.050366300366502,Incomplete dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.3310842514038,22.6429,23.4293,0.7864000000000004,-9.981684981684937,Incomplete dispense,
Viscosity_std_1275,p1000,1000.0,26.4,21.4,0,4.9,5.1,0,True,False,0.8736,101.6885769367218,23.4293,24.1592,0.7298999999999971,-16.44917582417616,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,26.4,14.6,0,5.6,0.6,0,True,False,0.8736,118.86456036567688,24.1592,24.8863,0.7271000000000001,-16.769688644688642,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,26.4,21.6,0,4.2,0.3,0,True,False,0.8736,95.22891998291016,24.8863,25.548,0.6616999999999997,-24.255952380952415,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.34218263626099,25.548,26.2795,0.7315000000000005,-16.26602564102559,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,26.4,14.2,0,1.0,0.2,0,True,False,0.8736,116.17647933959961,26.2795,26.9575,0.6780000000000008,-22.390109890109798,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.37643504142761,26.9575,27.7016,0.7440999999999995,-14.823717948718004,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.14254951477051,21.4984,22.2202,0.7217999999999982,-17.376373626373834,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.18083715438843,22.2202,22.9467,0.7265000000000015,-16.838369963369797,incomplete aspiration and dispense,
