liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.0281674861908,22.5094,23.3211,0.8117000000000019,-7.085622710622502,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.06523060798645,23.3211,24.1356,0.8144999999999989,-6.765109890110022,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.0934648513794,24.1356,24.9413,0.8056999999999981,-7.772435897436121,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.1299684047699,24.9413,25.7371,0.7958000000000034,-8.905677655677271,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.1690857410431,25.7371,26.5337,0.796599999999998,-8.8141025641028,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.204651594162,26.5337,27.3228,0.7891000000000012,-9.672619047618909,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.2445113658905,27.3228,28.1132,0.7903999999999982,-9.523809523809733,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.2355341911316,28.1132,28.9058,0.7926000000000002,-9.271978021978004,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.27230525016785,28.9058,29.6883,0.7825000000000024,-10.428113553113281,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.33066177368164,29.6883,30.472,0.7836999999999996,-10.290750915750964,incomplete aspiration and dispense,
