liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.27966165542603,21.5325,22.3227,0.7902000000000022,-9.546703296703045,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,25.8,15.6,0,0.0,3.0,0,True,False,0.8736,112.24208474159241,22.3227,23.011,0.6882999999999981,-21.2110805860808,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.24168682098389,23.011,23.7513,0.7403000000000013,-15.258699633699491,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.28412699699402,23.7513,24.4944,0.7430999999999983,-14.93818681318701,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.2926983833313,24.4944,25.2383,0.7439,-14.846611721611724,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.31100177764893,25.2383,25.9728,0.7345000000000006,-15.922619047618984,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.35908913612366,25.9728,26.7083,0.7355000000000018,-15.80815018314998,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,26.4,26.4,0,4.5,2.7,0,True,False,0.8736,89.62941551208496,22.4189,23.1002,0.6813000000000002,-22.012362637362614,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,17.7,26.4,0,6.0,3.2,0,True,False,0.8736,111.29025459289551,23.1002,23.8461,0.7458999999999989,-14.617673992674124,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.27008175849915,23.8461,24.5726,0.7265000000000015,-16.838369963369797,incomplete aspiration and dispense,
