liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,11,5.5,0,3,3,0,True,False,0.8736,286.83998227119446,22.9317,23.7811,0.8493999999999993,-2.770146520146609,within tolerance of 1000uL,
Viscosity_std_1275,p1000,1000.0,17.8,10.2,0,4.3,1.6,0,True,False,0.8736,167.61950039863586,23.7811,24.5616,0.7805,-10.65705128205129,incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.7,1.1,0,0,0,0,True,False,0.8736,1193.848180770874,24.5616,25.4093,0.8477000000000032,-2.964743589743225,incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.7,1.1,0,0,0,0,True,False,0.8736,1193.8595390319824,25.4093,26.2647,0.8553999999999995,-2.083333333333396,Within tolerance of 1000uL,
Viscosity_std_1275,p1000,1000.0,11.8,1.1,0,0,0,0,True,False,0.8736,1193.9067504405975,26.2647,27.1187,0.8539999999999992,-2.2435897435898395,Within tolerance of 1000uL,
Viscosity_std_1275,p1000,1000.0,11.4,1.1,0,0,0,0,True,False,0.8736,1197.6612753868103,27.1187,27.9772,0.8584999999999994,-1.72847985347993,Within tolerance of 1000uL,
Viscosity_std_1275,p1000,1000.0,10.9,1.1,0,0,0,0,True,False,0.8736,1201.7323906421661,27.9772,28.8345,0.8572999999999986,-1.8658424908426539,Within tolerance of 1000uL,
Viscosity_std_1275,p1000,1000.0,10.2,1.1,0,0,0,0,True,False,0.8736,1206.205293893814,28.8345,29.6883,0.8538000000000032,-2.2664835164831523,Within tolerance of 1000uL,
Viscosity_std_1275,p1000,1000.0,8.9,1.1,0,0.3,0.4,0,True,False,0.8736,1222.9922699928284,29.6883,30.5626,0.8742999999999981,0.08012820512798025,Within tolerance of 1000uL,
Viscosity_std_1275,p1000,1000.0,5.6,1.1,0,0.7,0.9,0,True,False,0.8736,1292.548544883728,30.5626,31.4629,0.9003000000000014,3.05631868131884,Excess aspiration and dispense,
