liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,11.0,5.5,0,3,3,0,True,False,0.8736,286.80452513694763,22.7904,23.635,0.8445999999999998,-3.319597069597098,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,17.8,10.2,0,4.3,1.6,0,True,False,0.8736,167.58690071105957,23.635,24.423,0.7879999999999967,-9.79853479853518,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,26.4,1.6,0,5,2.5,0,True,False,0.8736,784.4544394016266,24.423,25.2389,0.8159000000000027,-6.604853479853172,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,26.4,1.6,0,5,2.5,0,True,False,0.8736,784.4597568511963,25.2389,26.0548,0.8158999999999992,-6.6048534798535785,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,26.0,26.4,0,1,5.9,0,True,False,0.8736,89.2027657032013,26.0548,26.719,0.664200000000001,-23.969780219780105,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,17.8,10.2,0,4.3,1.6,0,True,False,0.8736,167.71151089668274,26.719,27.52,0.8009999999999984,-8.31043956043975,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,4.9,4.3,0,4,3,0,True,False,0.8736,479.53756761550903,27.52,28.4236,0.9036000000000008,3.434065934066026,Excess aspiration,
Viscosity_std_1275,p1000,1000.0,4.9,4.3,0,4,3,0,True,False,0.8736,479.590717792511,28.4236,29.3255,0.9019000000000013,3.2394688644690026,Excess aspiration,
Viscosity_std_1275,p1000,1000.0,4.9,4.3,0,4,3,0,True,False,0.8736,479.6036424636841,29.3255,30.2265,0.9009999999999998,3.1364468864468584,Excess aspiration,
Viscosity_std_1275,p1000,1000.0,4.9,4.3,0,4,3,0,True,False,0.8736,479.642680644989,30.2265,31.1264,0.8998999999999988,3.0105311355309943,Excess aspiration,
