liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,11,5.5,0,3,3,0,True,False,0.8736,286.8147361278534,23.0153,23.868,0.8526999999999987,-2.392399267399423,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.09740710258484,23.868,24.6281,0.7601000000000013,-12.992216117215968,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,26.4,26.4,0,3.9,4.5,0,True,False,0.8736,90.62763714790344,24.6281,25.3004,0.6722999999999999,-23.042582417582434,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.17127108573914,25.3004,26.0656,0.7652000000000001,-12.4084249084249,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.2011194229126,26.0656,26.8356,0.7699999999999996,-11.858974358974413,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.24331402778625,26.8356,27.6082,0.7726000000000006,-11.561355311355245,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.3010265827179,27.6082,28.3837,0.775500000000001,-11.229395604395497,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,142.04935216903687,28.3837,29.1468,0.7630999999999979,-12.64880952380977,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.32132005691528,29.1468,29.917,0.7702000000000027,-11.836080586080286,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.36652898788452,29.917,30.6976,0.7805999999999997,-10.64560439560443,Incomplete aspiration and dispense,
