liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,11,5.5,0,3,3,0,True,False,0.8736,286.9516816139221,23.3804,24.2259,0.8454999999999977,-3.21657509157536,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.2341752052307,24.2259,24.9916,0.7656999999999989,-12.351190476190602,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.1,24.4,0,4.5,4.3,0,True,False,0.8736,105.69843435287476,24.9916,25.7304,0.7388000000000012,-15.430402930402792,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,5.8,20.1,0,1.3,3,0,True,False,0.8736,245.2458312511444,25.7304,26.5444,0.8140000000000001,-6.82234432234432,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,5.8,20.1,0,1.3,3,0,True,False,0.8736,245.26445388793945,26.5444,27.3484,0.804000000000002,-7.967032967032737,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,5.8,20.1,0,1.3,3,0,True,False,0.8736,245.3060131072998,27.3484,28.1535,0.8050999999999995,-7.84111721611728,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,5.8,20.1,0,1.3,3,0,True,False,0.8736,245.32537984848022,28.1535,28.9605,0.8069999999999986,-7.623626373626538,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,5.8,20.1,0,1.3,3,0,True,False,0.8736,245.3492877483368,28.9605,29.7708,0.8103000000000016,-7.2458791208789455,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,5.8,20.1,0,1.3,3,0,True,False,0.8736,245.39373111724854,29.7708,30.5811,0.810299999999998,-7.245879120879352,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,5.8,20.1,0,1.3,3,0,True,False,0.8736,245.41617608070374,30.5811,31.3934,0.8123000000000005,-7.0169413919413435,incomplete aspiration and dispense,
