liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.2925636768341,21.7012,22.4758,0.7745999999999995,-11.332417582417643,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,23.9,26.4,0,2.2,1.9,0,True,False,0.8736,90.43390274047852,22.4758,23.1191,0.6433,-26.362179487179493,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.35538649559021,23.1191,23.8495,0.7303999999999995,-16.391941391941454,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.39308977127075,23.8495,24.5761,0.7266000000000012,-16.826923076922938,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,18.6,0,3.1,2.8,0,True,False,0.8736,115.42472791671753,24.5761,25.3062,0.7301000000000002,-16.426282051282033,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.63924169540405,25.3062,26.1113,0.8050999999999995,-7.84111721611728,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.686674118042,26.1113,26.9141,0.8028000000000013,-8.104395604395462,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,23.3,18.8,0,5.7,2.4,0,True,False,0.8736,110.35023427009583,22.6868,23.4133,0.7264999999999979,-16.838369963370205,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,20.9,20.0,0,3.1,0.8,0,True,False,0.8736,109.54191517829895,23.4133,24.105,0.6917000000000009,-20.82188644688635,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,13.8,18.6,0,4.3,2.9,0,True,False,0.8736,141.55256366729736,24.105,24.8855,0.7805,-10.65705128205129,incomplete aspiration and dispense,
