liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,10.8,8.3,0,4.4,5.7,0,True,False,0.8736,234.17808365821838,23.3212,24.1693,0.8480999999999987,-2.9189560439561926,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.1,13.7,0,4.1,5.5,0,True,False,0.8736,180.77842593193054,24.1693,24.9908,0.8215000000000003,-5.963827838827805,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.1,13.7,0,4.1,5.5,0,True,False,0.8736,180.84089994430542,24.9908,25.8011,0.8103000000000016,-7.2458791208789455,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.1,13.7,0,4.1,5.5,0,True,False,0.8736,180.8447847366333,25.8011,26.6127,0.8115999999999985,-7.097069597069769,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.1,13.7,0,4.1,5.5,0,True,False,0.8736,180.87559127807617,26.6127,27.4256,0.8128999999999991,-6.948260073260185,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.1,13.7,0,4.1,5.5,0,True,False,0.8736,180.68476152420044,21.6264,22.4505,0.8241000000000014,-5.666208791208637,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.1,13.7,0,4.1,5.5,0,True,False,0.8736,180.7047688961029,22.4505,23.2788,0.8282999999999987,-5.185439560439713,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,18.4,9.5,0,6.0,4.2,0,True,False,0.8736,180.74535083770752,23.2788,24.0873,0.8084999999999987,-7.451923076923235,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.1,13.7,0,4.1,5.5,0,True,False,0.8736,180.7890465259552,24.0873,24.9085,0.821200000000001,-5.998168498168384,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.1,13.7,0,4.1,5.5,0,True,False,0.8736,180.81030535697937,24.9085,25.7328,0.8243000000000009,-5.643315018314918,incomplete aspiration and dispense,
