liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.33722758293152,21.6752,22.5201,0.8448999999999991,-3.2852564102565185,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.3778247833252,22.5201,23.3651,0.8450000000000024,-3.273809523809252,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.4066390991211,23.3651,24.2077,0.8425999999999974,-3.5485347985351066,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.45464777946472,24.2077,25.0552,0.8475000000000001,-2.987637362637351,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.469464302063,25.0552,25.8907,0.8354999999999997,-4.361263736263777,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.48770785331726,25.8907,26.7358,0.8451000000000022,-3.2623626373623926,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.54089450836182,26.7358,27.5817,0.8459000000000003,-3.1707875457875145,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.32553958892822,21.8754,22.7202,0.8447999999999993,-3.296703296703378,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.37169790267944,22.7202,23.5633,0.8431000000000033,-3.4913003662999946,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.3993637561798,23.5633,24.4092,0.8458999999999968,-3.170787545787921,Incomplete aspiration,
