liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.31155395507812,21.8066,22.6437,0.8370999999999995,-4.178113553113614,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,26.1,13.1,0,4.8,3.4,0,True,False,0.8736,130.62176847457886,22.6437,23.3682,0.7245000000000026,-17.067307692307402,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.40092825889587,23.3682,24.2099,0.8416999999999994,-3.651556776556845,incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.43867087364197,24.2099,25.0541,0.8441999999999972,-3.3653846153849436,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.2370376586914,25.0541,25.8629,0.8088000000000015,-7.417582417582248,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.26214170455933,25.8629,26.672,0.8091000000000008,-7.383241758241669,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.3357698917389,26.672,27.486,0.8140000000000001,-6.82234432234432,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.5483684539795,27.486,28.3314,0.8453999999999979,-3.2280219780222197,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.31497740745544,21.649,22.4825,0.8335000000000008,-4.590201465201379,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.3583710193634,22.4825,23.3212,0.8386999999999993,-3.994963369963451,incomplete aspiration and dispense,
