liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000,5.7,6.8,0,2.1,4.5,0,TRUE,FALSE,0.8736,354.6777368,22.1999,23.072,0.8721,-0.171703297,Within tolerance of 1000uL,
Viscosity_std_1275,p1000,1000,15.3,7,0,2.6,4.5,0,TRUE,FALSE,0.8736,226.1777515,23.072,23.8902,0.8182,-6.341575092,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,15.3,7,0,2.6,4.5,0,TRUE,FALSE,0.8736,226.227845,23.8902,24.7124,0.8222,-5.883699634,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,15.3,7,0,2.6,4.5,0,TRUE,FALSE,0.8736,226.2306643,24.7124,25.5219,0.8095,-7.337454212,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,15.3,7,0,2.6,4.5,0,TRUE,FALSE,0.8736,226.2546585,25.5219,26.3337,0.8118,-7.074175824,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,15.3,7,0,2.6,4.5,0,TRUE,FALSE,0.8736,226.3022859,26.3337,27.1477,0.814,-6.822344322,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,15.3,7,0,2.6,4.5,0,TRUE,FALSE,0.8736,226.3421705,27.1477,27.9628,0.8151,-6.696428571,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,15.3,7,0,2.6,4.5,0,TRUE,FALSE,0.8736,226.160223,22.5676,23.3898,0.8222,-5.883699634,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,10.9,2.6,0,3.1,5.5,0,TRUE,FALSE,0.8736,550.4670422,23.3898,24.2544,0.8646,-1.03021978,Within tolerance of 1000uL,
Viscosity_std_1275,p1000,1000,5,5.5,0,0.9,0.5,0,TRUE,FALSE,0.8736,413.0367801,24.2544,25.1238,0.8694,-0.480769231,Within tolerance of 1000uL,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.3372276,21.6752,22.5201,0.8449,-3.28525641,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.3778248,22.5201,23.3651,0.845,-3.273809524,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.4066391,23.3651,24.2077,0.8426,-3.548534799,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.4546478,24.2077,25.0552,0.8475,-2.987637363,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.4694643,25.0552,25.8907,0.8355,-4.361263736,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.4877079,25.8907,26.7358,0.8451,-3.262362637,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.5408945,26.7358,27.5817,0.8459,-3.170787546,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.3255396,21.8754,22.7202,0.8448,-3.296703297,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.3716979,22.7202,23.5633,0.8431,-3.491300366,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.3993638,23.5633,24.4092,0.8459,-3.170787546,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.311554,21.8066,22.6437,0.8371,-4.178113553,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,26.1,13.1,0,4.8,3.4,0,TRUE,FALSE,0.8736,130.6217685,22.6437,23.3682,0.7245,-17.06730769,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.4009283,23.3682,24.2099,0.8417,-3.651556777,incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.4386709,24.2099,25.0541,0.8442,-3.365384615,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,15.3,7,0,2.6,4.5,0,TRUE,FALSE,0.8736,226.2370377,25.0541,25.8629,0.8088,-7.417582418,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,15.3,7,0,2.6,4.5,0,TRUE,FALSE,0.8736,226.2621417,25.8629,26.672,0.8091,-7.383241758,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,15.3,7,0,2.6,4.5,0,TRUE,FALSE,0.8736,226.3357699,26.672,27.486,0.814,-6.822344322,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.5483685,27.486,28.3314,0.8454,-3.228021978,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.3149774,21.649,22.4825,0.8335,-4.590201465,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.358371,22.4825,23.3212,0.8387,-3.99496337,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.4263117,24.4094,25.2505,0.8411,-3.720238095,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.471086,25.2505,26.0972,0.8467,-3.079212454,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.5064647,26.0972,26.9429,0.8457,-3.193681319,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.5286837,26.9429,27.7849,0.842,-3.617216117,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.3045142,21.8695,22.7074,0.8379,-4.086538462,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.3718524,22.7074,23.5482,0.8408,-3.754578755,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.3869064,23.5482,24.3834,0.8352,-4.395604396,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.4342422,24.3834,25.2229,0.8395,-3.903388278,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.4529161,25.2229,26.0626,0.8397,-3.880494505,Incomplete aspiration,
Viscosity_std_1275,p1000,1000,11.5,7.3,0,4.2,3.6,0,TRUE,FALSE,0.8736,239.4811671,26.0626,26.9015,0.8389,-3.972069597,Incomplete aspiration,
