liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,22.0,11.0,0.0,3.0,3.0,0.0,1.0,0.0,149.3391342,-16.01419414,0.7337,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.0,5.5,0.0,3.0,3.0,0.0,1.0,0.0,286.9517,-3.216575091575093,0.8455,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,13.826360376110168,18.579386832179605,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,141.2342,-12.351190476190474,0.7657,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,20.10599254891177,24.416170752792183,0.0,4.523720113793911,4.339739963477731,0.0,1.0,0.0,105.6984,-15.430402930402934,0.7388,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,5.798879852083775,20.06943015732739,0.0,1.2585006968641048,3.0013152744353446,0.0,1.0,0.0,245.2458,-6.822344322344333,0.814,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,5.798879852083775,20.06943015732739,0.0,1.2585006968641048,3.0013152744353446,0.0,1.0,0.0,245.2645,-7.967032967032966,0.804,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,5.798879852083775,20.06943015732739,0.0,1.2585006968641048,3.0013152744353446,0.0,1.0,0.0,245.306,-7.841117216117216,0.8051,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,5.798879852083775,20.06943015732739,0.0,1.2585006968641048,3.0013152744353446,0.0,1.0,0.0,245.3254,-7.623626373626373,0.807,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,5.798879852083775,20.06943015732739,0.0,1.2585006968641048,3.0013152744353446,0.0,1.0,0.0,245.3493,-7.245879120879123,0.8103,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,5.798879852083775,20.06943015732739,0.0,1.2585006968641048,3.0013152744353446,0.0,1.0,0.0,245.3937,-7.245879120879123,0.8103,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,5.798879852083775,20.06943015732739,0.0,1.2585006968641048,3.0013152744353446,0.0,1.0,0.0,245.4162,-7.016941391941393,0.8123,0.8736,1.0
