liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,22.0,11.0,0.0,3.0,3.0,0.0,1.0,0.0,149.3391342,-16.01419414,0.7337,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,20.0,11.0,0.0,3.0,3.0,0.0,1.0,0.0,153.9962201,-12.87774725,0.7611,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,16.0,11.0,0.0,3.0,3.0,0.0,1.0,0.0,165.906338,-11.13782051,0.7763,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,16.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,191.6476669,-16.90705128,0.7259,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,14.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,200.8774972,-9.603937729,0.7897,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,13.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,206.2330053,-8.161630037,0.8023,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,219.5589845,-6.181318681,0.8196,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,244.0876746,-4.532967033,0.834,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,128.8894331,-9.134615385,0.3969,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,129.6728332,-9.134615385,0.3969,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,7.0,0.0,3.0,3.0,0.0,1.0,0.0,145.1909773,-6.181318681,0.4098,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,130.4895842,-11.85897436,0.385,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,5.0,0.0,3.0,3.0,0.0,1.0,0.0,181.3435276,-4.326923077,0.4179,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,300.0,9.0,5.0,0.0,3.0,3.0,0.0,1.0,0.0,115.5135686,-6.326312576,0.2455,0.26208,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,300.0,9.0,4.0,0.0,3.0,3.0,0.0,1.0,0.0,131.4613929,-6.135531136,0.246,0.26208,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.3372,-3.021978021978032,0.8472,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.3778,-3.273809523809532,0.845,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.4066,-3.548534798534801,0.8426,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.4546,-2.987637362637364,0.8475,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.4695,-4.361263736263739,0.8355,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.4877,-3.262362637362646,0.8451,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.5409,-3.1707875457875527,0.8459,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.3255,-3.2967032967033023,0.8448,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.3717,-3.491300366300375,0.8431,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.531319654349904,7.292409706934173,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,239.3994,-3.1707875457875527,0.8459,0.8736,1.0
