liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.80068516731262,21.8354,22.6995,0.8641000000000005,-0.3574723247231823,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.80451989173889,22.6995,23.5597,0.860199999999999,-0.8071955719558356,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.145543575286865,23.5597,24.4048,0.8451000000000022,-2.5484317343170884,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.18951630592346,24.4048,25.2508,0.8460000000000001,-2.444649446494452,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.210856676101685,25.2508,26.0973,0.8464999999999989,-2.3869926199263207,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.24453830718994,26.0973,26.9441,0.8467999999999982,-2.3523985239854417,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.29965567588806,26.9441,27.7916,0.8475000000000001,-2.2716789667896484,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.33197569847107,27.7916,28.6389,0.8473000000000006,-2.294741697416901,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.34420418739319,28.6389,29.4874,0.8485000000000014,-2.1563653136529757,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.36719632148743,29.4874,30.3353,0.8478999999999992,-2.225553505535143,Incomplete dispense,
