liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,66,64.3,0,0.9,3.3,0,True,False,0.8672,39.82854604721069,21.1965,21.9969,0.8003999999999998,-7.7029520295203175,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,0.0,2.7,0,True,False,0.8672,37.92966032028198,21.9969,22.7436,0.7467000000000006,-13.89529520295196,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,65.5,66.0,0,0.8,3.7,0,True,False,0.8672,39.88435411453247,22.7436,23.5419,0.7982999999999976,-7.945110701107288,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,65.4,64.0,0,0.9,0.0,0,True,False,0.8672,36.731032371520996,23.5419,24.2517,0.7098000000000013,-18.15036900368988,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,65.5,66.0,0,0.8,3.7,0,True,False,0.8672,39.948715925216675,24.2517,25.0434,0.7916999999999987,-8.70618081180826,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,6.0,3.7,0,True,False,0.8672,45.0746910572052,25.0434,25.9036,0.8602000000000025,-0.8071955719554259,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,0.0,6.0,0,True,False,0.8672,41.39958930015564,25.9036,26.6854,0.7818000000000005,-9.847785977859719,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,65.3,63.4,0,1.9,4.2,0,True,False,0.8672,42.21165728569031,26.6854,27.5271,0.8416999999999994,-2.94049815498161,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,4.3,0.0,0,True,False,0.8672,39.798747062683105,27.5271,28.2955,0.7683999999999997,-11.392988929889325,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,0.0,6.0,0,True,False,0.8672,41.527486085891724,28.2955,29.0868,0.7912999999999997,-8.752306273062766,Incomplete aspiration,
