liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398,p1000,1000.0,27.5,27.5,0,0,0,0,True,False,0.8672,78.39285135269165,22.2106,23.0132,0.8026000000000018,-7.449261992619721,incomplete aspiration,
Viscosity_std_398,p1000,1000.0,44.5,27.2,0,4.3,1.6,0,True,False,0.8672,70.77224707603455,23.0132,23.8709,0.8576999999999977,-1.0954797047973113,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,44.5,27.2,0,4.3,1.6,0,True,False,0.8672,70.79483246803284,23.8709,24.7276,0.8567,-1.2107933579335741,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,44.5,27.2,0,4.3,1.6,0,True,False,0.8672,70.83577871322632,24.7276,25.5805,0.8529000000000018,-1.6489852398521914,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,44.5,27.2,0,4.3,1.6,0,True,False,0.8672,70.84283089637756,25.5805,26.4336,0.8530999999999977,-1.6259225092253484,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,44.5,27.2,0,4.3,1.6,0,True,False,0.8672,70.8901891708374,26.4336,27.286,0.8524000000000029,-1.7066420664203226,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,44.5,27.2,0,4.3,1.6,0,True,False,0.8672,70.90488409996033,27.286,28.1279,0.841899999999999,-2.9174354243543577,incomplete aspiration,
Viscosity_std_398,p1000,1000.0,44.5,27.2,0,4.3,1.6,0,True,False,0.8672,70.94644618034363,28.1279,28.9695,0.8415999999999997,-2.9520295202952367,incomplete aspiration,
Viscosity_std_398,p1000,1000.0,44.5,27.2,0,4.3,1.6,0,True,False,0.8672,71.00330376625061,28.9695,29.8117,0.8421999999999983,-2.882841328413479,incomplete aspiration,
Viscosity_std_398,p1000,1000.0,44.5,27.2,0,4.3,1.6,0,True,False,0.8672,71.0404531955719,29.8117,30.6549,0.8432000000000031,-2.767527675276397,incomplete aspiration,
