liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398,p1000,1000.0,55,55,0,0,0,0,True,False,0.8672,41.52124047279358,22.1657,22.8738,0.7080999999999982,-18.346402214022348,incomplete aspiration,
Viscosity_std_398,p1000,1000.0,27.5,27.5,0,0,0,0,True,False,0.8672,79.31393694877625,23.7372,24.5301,0.7928999999999995,-8.567804428044337,incomplete aspiration - start,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.03709840774536,24.5301,25.3849,0.8547999999999973,-1.4298892988932923,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.054569244384766,25.3849,26.2338,0.8489000000000004,-2.110239852398471,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.10502028465271,26.2338,27.0869,0.8531000000000013,-1.6259225092249388,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.17152261734009,27.0869,27.9431,0.8562000000000012,-1.2684501845017053,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.24223017692566,27.9431,28.7983,0.8552,-1.3837638376383776,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.21437644958496,28.7983,29.6531,0.8547999999999973,-1.4298892988932923,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.28584694862366,29.6531,30.5076,0.8545000000000016,-1.4644833948337614,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.291077852249146,30.5076,31.3628,0.8552,-1.3837638376383776,Within tolerance of 1000uL,
