liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,error,Transfer_Observation,Comment
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.76287317276001,21.317,22.1686,0.8516000000000012,-1.7988929889297425,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.81648874282837,22.1686,23.0207,0.8521000000000001,-1.741236162361611,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.84217071533203,23.0207,23.8841,0.8633999999999986,-0.4381918819189758,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.930527448654175,23.8841,24.7464,0.8623000000000012,-0.5650369003688647,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.902549028396606,24.7464,25.5954,0.8490000000000002,-2.0987084870848447,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.93987202644348,25.5954,26.445,0.8495999999999988,-2.029520295203087,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.97091221809387,26.445,27.2859,0.8409000000000013,-3.0327490774906205,Incomplete aspiration,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.02409601211548,27.2033,28.0518,0.8485000000000014,-2.1563653136529757,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.03810238838196,28.0518,28.9004,0.8486000000000011,-2.1448339483393495,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.05220699310303,28.9004,29.7489,0.8484999999999978,-2.1563653136533856,Within tolerance of 1000uL,
