liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.73066973686218,21.3113,22.1711,0.8597999999999999,-0.8533210332103405,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.77589392662048,22.1711,23.0305,0.8594000000000008,-0.8994464944648456,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.823803186416626,23.0305,23.8899,0.8594000000000008,-0.8994464944648456,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,66.0,41.7,0,0.0,3.0,0,True,False,0.8672,47.19995737075806,23.8899,24.6601,0.7701999999999991,-11.185424354243642,Incomplete aspiration and dispense,
Viscosity_std_398.4,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.863821506500244,24.6601,25.522,0.8618999999999986,-0.6111623616237793,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,58.3,49.0,0,4.0,2.9,0,True,False,0.8672,49.66900324821472,25.522,26.3661,0.844100000000001,-2.66374538745376,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,57.6,50.0,0,0.0,5.4,0,True,False,0.8672,47.92742371559143,26.3661,27.1648,0.7987000000000002,-7.898985239852374,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,58.1,63.0,0,0.0,5.4,0,True,False,0.8672,43.574498414993286,27.1648,27.9575,0.7927,-8.590867158671587,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.01862931251526,27.9575,28.8237,0.8661999999999992,-0.11531365313662109,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,63.7,57.0,0,5.9,2.7,0,True,False,0.8672,47.12675905227661,28.8237,29.68,0.856300000000001,-1.2569188191880791,Within tolerance of 1000uL,
