liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.780200481414795,21.2597,22.1161,0.8564000000000007,-1.245387453874453,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.85189127922058,22.1161,22.973,0.8568999999999996,-1.1877306273063215,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.866825103759766,22.973,23.8291,0.8561000000000014,-1.2799815498153317,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.8951370716095,23.8291,24.6847,0.855599999999999,-1.3376383763838726,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.94719386100769,24.6847,25.5404,0.8557000000000023,-1.3261070110698367,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.95852303504944,25.5404,26.396,0.855599999999999,-1.3376383763838726,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.0330286026001,26.396,27.2513,0.8552999999999997,-1.3722324723247514,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.022242069244385,27.2513,28.1066,0.8552999999999997,-1.3722324723247514,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.05289173126221,28.1066,28.9613,0.8547000000000011,-1.4414206642065088,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.085463762283325,28.9613,29.816,0.8546999999999976,-1.4414206642069187,Within tolerance of 1000uL,
