liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,51.434,58.489,57.614,7.492000000000001,0.9059999999999999,8.792,True,False,0.8672,62.402643999999995,21.5517,22.3001,0.7484,-13.699262,Incomplete dispense,Bubble accumulation on tip of the pipette afte...
Viscosity_std_398.4,p1000,1000.0,82.5,82.5,82.5,15.0,15.0,15.0,True,False,0.8672,76.453721,22.3001,23.0884,0.7883,-9.098247,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,50.297,53.723,23.674,10.043,12.927999999999999,8.28,True,False,0.8672,81.053717,23.0884,23.9131,0.8247,-4.90083,Incomplete dispense,"Transfer looked good, tolerance was not met"
Viscosity_std_398.4,p1000,1000.0,80.384,54.063,57.266999999999996,11.882,0.0,0.0,True,False,0.8672,50.80472,23.9131,24.7173,0.8042,-7.264760000000001,Incomplete dispense,"Aspiration looks ok at higher rates, dispense/blow_out steps not slow enough to dispense all liquid"
Viscosity_std_398.4,p1000,1000.0,82.5,55.632,82.5,2.516,15.0,15.0,True,False,0.8672,70.060636,24.7173,25.4665,0.7492,-13.607010999999998,Incomplete dispense,"Aspiration looks ok at higher rates, dispense/…"
Viscosity_std_398.4,p1000,1000.0,82.5,82.5,0.0,0.0,15.0,15.0,True,False,0.8672,45.68130612373352,25.4662,25.9886,0.5224000000000011,-39.760147601475886,Incomplete aspirate and dispense,
Viscosity_std_398.4,p1000,1000.0,69.701,66.29,3.563,13.556,1.788,5.417,True,False,0.8672,94.99947118759155,25.9886,26.8397,0.8510999999999989,-1.8565498154982836,"Complete transfer, within tolerance",High dispense rate is balance by low blow out rate
Viscosity_std_398.4,p1000,1000.0,65.608,78.682,54.325,14.223,3.336,12.143,True,False,0.8672,65.36190247535706,26.8397,27.6197,0.7800000000000011,-10.0553505535054,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,82.5,82.5,0.0,0.0,0.0,0.0,True,False,0.8672,30.195717573165894,27.6197,28.202,0.5823,-32.85285977859778,Incomplete aspirate and dispense,
Viscosity_std_398.4,p1000,1000.0,73.175,77.577,55.924,8.947,4.35,10.435,True,False,0.8672,57.90763449668884,28.202,28.9839,0.7818999999999967,-9.836254612546503,Incomplete dispense,
