liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,82.5,82.5,82.5,15.0,0.0,15.0,True,False,0.8672,61.96447277069092,28.9839,29.741,0.7571000000000012,-12.696033210331962,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,45.638999999999996,77.958,43.088,12.261,3.3280000000000003,5.928999999999999,True,False,0.8672,65.56100702285768,29.741,30.5414,0.8003999999999998,-7.702952029520317,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,79.35600000000001,75.675,52.146,11.925999999999998,11.184000000000001,1.652,True,False,0.8672,59.23992347717285,30.5414,31.3587,0.8172999999999995,-5.754151291512972,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,55.188,59.406000000000006,10.9,4.05,11.908,9.326,True,False,0.8672,78.39548134803772,31.3587,32.1742,0.8155000000000001,-5.961715867158655,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,58.843999999999994,36.016999999999996,13.995,10.669,0.127,0.6779999999999999,True,False,0.8672,71.92253708839418,32.1742,33.0209,0.8466999999999985,-2.3639298892990683,Transfer within 1000 ul tolerance,
Viscosity_std_398.4,p1000,1000.0,74.597,82.5,64.796,0.858,15.0,15.0,True,False,0.8672,64.63678169250488,21.3935,22.0491,0.6555999999999997,-24.400369003690063,Incomplete aspirate and dispense,
Viscosity_std_398.4,p1000,1000.0,53.873,71.258,22.3,12.813,1.663,4.353,True,False,0.8672,62.88728189468384,22.0491,22.8638,0.814700000000002,-6.053966789667665,Incomplete dispense,Bubbles were observed during dispense step
Viscosity_std_398.4,p1000,1000.0,82.5,82.5,0.0,15.0,15.0,0.0,True,False,0.8672,60.05200910568237,22.8638,23.6412,0.7774000000000001,-10.355166051660502,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,82.5,82.5,0.0,0.0,0.0,15.0,True,False,0.8672,30.085461139678955,23.6412,24.225,0.5838000000000001,-32.67988929889298,Incomplete aspirate and dispense,
Viscosity_std_398.4,p1000,1000.0,80.248,64.251,67.144,3.365,2.523,5.798,True,False,0.8672,47.67875266075134,24.225,24.9841,0.7591000000000001,-12.465405904059025,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,71.131,38.19,49.56,11.778,0.295,9.07,True,False,0.8672,70.19124984741211,24.9841,25.8371,0.852999999999998,-1.6374538745389748,Within tolerance for 1000 uL,
