liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,error,Transfer_Observation,Comment
Viscosity_std_398,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.10911726951599,22.2722,23.1219,0.8496999999999986,-2.0179889298894604,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,49.6,53.4,0,1.6,3.5,0,True,False,0.8672,49.076704263687134,23.1219,23.955,0.8330999999999982,-3.9321955719559263,Incomplete dispense,
Viscosity_std_398,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.17914295196533,23.955,24.7908,0.8358000000000025,-3.620848708486789,Incomplete dispense,
Viscosity_std_398,p1000,1000.0,41.4,65.8,0,5.1,5.1,0,True,False,0.8672,54.8506133556366,24.7908,25.6651,0.8742999999999981,0.8187269372691545,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,65.8,33.2,0,5.8,6.0,0,True,False,0.8672,62.463220834732056,25.6651,26.5406,0.8755000000000024,0.9571033210334889,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,27.6,35.6,0,4.1,5.5,0,True,False,0.8672,79.66177821159363,26.5406,27.427,0.8863999999999983,2.2140221402212097,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.1,5.5,0,True,False,0.8672,65.39560508728027,27.427,28.3032,0.8762000000000008,1.0378228782288728,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,28.8,20.3,0,4.2,3.6,0,True,False,0.8672,97.94746422767639,28.3032,29.1827,0.8795000000000002,1.418357933579359,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,11.8,6.7,0,1.5,5.8,0,True,False,0.8672,258.55248522758484,29.1827,30.0858,0.9030999999999985,4.139760147601302,Excess aspiration,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.12127423286438,30.0858,30.944,0.8582000000000001,-1.0378228782287704,Within tolerance of 1000uL,
