liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,50.5,51.7,0,1.6,2.7,0,True,False,0.8672,48.59489822387695,21.4781,22.2944,0.8162999999999982,-5.869464944649645,incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,66.0,39.7,0,6.0,0.0,0,True,False,0.8672,51.397730588912964,22.2944,23.1056,0.8111999999999995,-6.457564575645813,incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,46.7,66.0,0,2.8,5.9,0,True,False,0.8672,50.49063420295715,23.1056,23.9647,0.8591000000000015,-0.9340405904057244,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,63.2,63.4,0,6.0,6.0,0,True,False,0.8672,48.66094517707825,23.9647,24.8358,0.8710999999999984,0.44972324723229473,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.9,63.5,0,5.6,5.9,0,True,False,0.8672,47.55100154876709,24.8358,25.7001,0.8643000000000001,-0.33440959409592974,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.8,63.0,0,5.9,5.9,0,True,False,0.8672,47.96224236488342,25.7001,26.568,0.8679000000000023,0.08071955719584473,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,64.8,62.6,0,5.6,5.9,0,True,False,0.8672,48.04989981651306,26.568,27.4422,0.8741999999999983,0.8071955719555282,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,64.8,62.6,0,5.6,5.9,0,True,False,0.8672,48.05928111076355,27.4422,28.3136,0.8714000000000013,0.4843173431735832,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.9,63.5,0,5.6,5.9,0,True,False,0.8672,47.64813685417175,28.3136,29.1789,0.8652999999999977,-0.21909594095966714,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.16480827331543,29.1789,30.041,0.8621000000000016,-0.5880996309961172,Within tolerance of 1000uL,
