liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,27.5,27.5,0.0,0.0,0.0,0.0,1.0,0.0,78.5073,-6.2961254612546105,0.8126,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.0,5.5,0.0,0.0,0.0,0.0,1.0,0.0,281.0618,1.3837638376383776,0.8792,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.0,5.5,0.0,0.0,0.0,0.0,1.0,0.0,281.0903,1.6259225092250924,0.8813,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.0,5.5,0.0,0.0,0.0,0.0,1.0,0.0,281.1433,1.752767527675276,0.8824,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.364734441506211,15.638293130368432,0.0,0.2826755499798431,0.0834312882754713,0.0,1.0,0.0,162.9725,-1.360701107011061,0.8554,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.0,5.5,0.0,0.0,0.0,0.0,1.0,0.0,281.2143,1.6143911439114405,0.8812,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.0,5.5,0.0,0.0,0.0,0.0,1.0,0.0,281.2263,1.6374538745387444,0.8814,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.0,5.5,0.0,0.0,0.0,0.0,1.0,0.0,281.2836,1.5452029520295294,0.8806,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.0,5.5,0.0,0.0,0.0,0.0,1.0,0.0,281.3001,1.4644833948339535,0.8799,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,13.843117843348276,5.517437732656906,0.0,0.429555663521373,0.4817985860718158,0.0,1.0,0.0,263.612,1.2223247232472387,0.8778,0.8672,1.0
