liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,27.5,27.5,0.0,0.0,0.0,0.0,1.0,0.0,78.476,-6.1692804428044274,0.8137,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.47891735482588,27.1848538454861,0.0,4.288091977437061,1.5839990954840886,0.0,1.0,0.0,70.8683,-0.9109778597785998,0.8593,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.47891735482588,27.1848538454861,0.0,4.288091977437061,1.5839990954840886,0.0,1.0,0.0,70.8678,-0.9686346863468592,0.8588,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.47891735482588,27.1848538454861,0.0,4.288091977437061,1.5839990954840886,0.0,1.0,0.0,70.8983,-0.9109778597785998,0.8593,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.47891735482588,27.1848538454861,0.0,4.288091977437061,1.5839990954840886,0.0,1.0,0.0,70.9731,-1.0839483394833906,0.8578,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.47891735482588,27.1848538454861,0.0,4.288091977437061,1.5839990954840886,0.0,1.0,0.0,70.9699,-1.026291512915131,0.8583,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.47891735482588,27.1848538454861,0.0,4.288091977437061,1.5839990954840886,0.0,1.0,0.0,71.0339,-1.1992619926199222,0.8568,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.47891735482588,27.1848538454861,0.0,4.288091977437061,1.5839990954840886,0.0,1.0,0.0,71.0316,-2.606088560885604,0.8446,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.47891735482588,27.1848538454861,0.0,4.288091977437061,1.5839990954840886,0.0,1.0,0.0,71.0691,-2.559963099630996,0.845,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.47891735482588,27.1848538454861,0.0,4.288091977437061,1.5839990954840886,0.0,1.0,0.0,71.0892,-2.721402214022135,0.8436,0.8672,1.0
