liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,3.0,0.0,1.0,0.0,46.54256463,-7.737546125,0.8001,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,0.0,1.0,5.0,0.0,1.0,0.0,48.57934022,-5.454335793,0.8199,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,75.84529638,-0.438191882,0.8634,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,1.0,5.0,0.0,1.0,0.0,76.61596179,-2.317804428,0.8471,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.64450955,0.461254613,0.8712,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.68782043,0.887915129,0.8749,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,78.72473764,-0.034594096,0.8669,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,5.0,0.0,1.0,0.0,59.94251513,7.287822878,0.4652,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.90124798,-0.668819188,0.4307,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92943144,0.991697417,0.4379,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,500.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,57.92905998,-0.853321033,0.4299,0.4336,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,3.0,3.0,0.0,1.0,0.0,50.41490531,9.893911439,0.2859,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,1.0,3.0,0.0,1.0,0.0,48.47652721,-3.982164822,0.2498,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.44921994,-3.520910209,0.251,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.0,3.0,0.0,1.0,0.0,49.43574715,-2.444649446,0.2538,0.2601599999999999,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.1091,-2.0179889298892943,0.8497,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,49.635738730730615,53.40342747583058,0.0,1.5503183518143049,3.517849159487353,0.0,1.0,0.0,49.0767,-3.932195571955722,0.8331,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,52.27082876217667,47.45089623795213,0.0,3.070580251597018,2.7856083344200084,0.0,1.0,0.0,51.1791,-3.620848708487083,0.8358,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,41.36734033616233,65.83955395745699,0.0,5.143122161491514,5.0872561547532165,0.0,1.0,0.0,54.8506,0.8187269372693722,0.8743,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,65.84369090063936,33.15328956858545,0.0,5.8146232617997455,5.963304124520164,0.0,1.0,0.0,62.4632,0.9571033210332074,0.8755,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,27.640219967445,35.58718157259364,0.0,4.099577480538599,5.500192042460534,0.0,1.0,0.0,79.6618,2.214022140221401,0.8864,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,34.56590094027542,47.29853372912514,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,65.3956,1.0378228782287833,0.8762,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,28.82829913587476,20.30793625571216,0.0,4.168531063111615,3.563414398044143,0.0,1.0,0.0,97.9475,1.4183579335793333,0.8795,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.784781974190684,6.737705337189972,0.0,1.482069048117963,5.776196994140868,0.0,1.0,0.0,258.5525,4.139760147601481,0.9031,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,34.56590094027542,47.29853372912514,0.0,4.314901860928639,2.9467136005955843,0.0,1.0,0.0,63.1213,-1.0378228782287833,0.8582,0.8672,1.0
