liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,42.00240946,-19.76476015,0.6958,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,27.5,27.5,0.0,0.0,0.0,0.0,1.0,0.0,78.3431,-6.180811808118079,0.8136,0.8672,0.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.278822509554306,21.49351189559196,0.0,1.908976003512135,0.9289388882934252,0.0,1.0,0.0,147.2421,0.1383763837638352,0.8684,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,39.28985836240851,7.980639874690262,0.0,0.721117397830095,4.632438077927331,0.0,1.0,0.0,165.2362,-1.29151291512915,0.856,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.206703394366937,21.289109002940265,0.0,0.6810484968023791,0.0184741922316176,0.0,1.0,0.0,146.2187,-1.3837638376383776,0.8552,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,26.925516969320668,5.693353784960647,0.0,0.2713494163475548,4.432747663088676,0.0,1.0,0.0,146.2941,-1.349169741697409,0.8555,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.683758695100485,6.924578994874369,0.0,0.014381040323403,2.1299115688068966,0.0,1.0,0.0,242.8221,2.502306273062737,0.8889,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,44.47891735482588,27.1848538454861,0.0,4.288091977437061,1.5839990954840886,0.0,1.0,0.0,70.931,-2.525369003690028,0.8453,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,11.003086972838236,6.224602896718038,0.0,0.5398721705623796,5.470155166441731,0.0,1.0,0.0,273.1063,2.410055350553509,0.8881,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,26.078326351390672,9.817109752172986,0.0,0.0163231985937915,0.4682195426800041,0.0,1.0,0.0,149.1729,-2.8828413284132868,0.8422,0.8672,1.0
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,27.330839732697022,5.813589230487537,0.0,0.0750173594439307,3.994976015681816,0.0,1.0,0.0,230.0459,-1.1761992619926185,0.857,0.8672,1.0
