liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,55,55,0,0,0,0,1,0,42.00240946,-19.76476015,0.6958,0.8672,0
Viscosity_std_398.5,398.4,398.4,398.4,p1000,1000,27.5,27.5,0,0,0,0,1,0,78.3781,-5.638837638,0.8183,0.8672,0
Viscosity_std_398.6,398.4,398.4,398.4,p1000,1000,44.47891735,27.18485385,0,4.288091977,1.583999095,0,1,0,70.7334,-0.357472325,0.8641,0.8672,1
Viscosity_std_398.7,398.4,398.4,398.4,p1000,1000,44.47891735,27.18485385,0,4.288091977,1.583999095,0,1,0,70.7862,-0.357472325,0.8641,0.8672,1
Viscosity_std_398.8,398.4,398.4,398.4,p1000,1000,44.47891735,27.18485385,0,4.288091977,1.583999095,0,1,0,70.8165,-0.472785978,0.8631,0.8672,1
Viscosity_std_398.9,398.4,398.4,398.4,p1000,1000,44.47891735,27.18485385,0,4.288091977,1.583999095,0,1,0,70.8533,-0.426660517,0.8635,0.8672,1
Viscosity_std_398.10,398.4,398.4,398.4,p1000,1000,44.47891735,27.18485385,0,4.288091977,1.583999095,0,1,0,70.8517,-0.461254613,0.8632,0.8672,1
Viscosity_std_398.11,398.4,398.4,398.4,p1000,1000,44.47891735,27.18485385,0,4.288091977,1.583999095,0,1,0,70.8954,-0.645756458,0.8616,0.8672,1
Viscosity_std_398.12,398.4,398.4,398.4,p1000,1000,44.47891735,27.18485385,0,4.288091977,1.583999095,0,1,0,70.9148,-0.495848708,0.8629,0.8672,1
Viscosity_std_398.13,398.4,398.4,398.4,p1000,1000,44.47891735,27.18485385,0,4.288091977,1.583999095,0,1,0,70.9724,-1.833487085,0.8513,0.8672,1
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000,44.47891735,27.18485385,0,4.288091977,1.583999095,0,1,0,71.0045,-0.553505535,0.8624,0.8672,1
