liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_817,p1000,1000.0,12.5,6.25,0,3,3,0,True,False,0.8466,262.27555680274963,22.1911,23.0408,0.8497000000000021,0.3661705646116349,Within tolerance of 1000uL,
Viscosity_std_817,p1000,1000.0,17.9,2.4,0,0.7,4.6,0,True,False,0.8466,506.9207899570465,23.0408,23.8658,0.8249999999999993,-2.551381998582652,Incomplete aspiration,
Viscosity_std_817,p1000,1000.0,6.2,17.1,0,5.5,3.2,0,True,False,0.8466,244.5214283466339,23.8658,24.7001,0.8342999999999989,-1.4528703047485338,Within tolerance of 1000uL,
Viscosity_std_817,p1000,1000.0,9.5,9.6,0,5.8,2.1,0,True,False,0.8466,228.8336262702942,24.7001,25.548,0.8478999999999992,0.153555398062744,Within tolerance of 1000uL,
Viscosity_std_817,p1000,1000.0,7.9,18.0,0,0.2,3.5,0,True,False,0.8466,196.04360437393188,25.548,26.3777,0.8297000000000025,-1.996220174816616,Within tolerance of 1000uL,
Viscosity_std_817,p1000,1000.0,12.8,9.1,0,2.4,0.8,0,True,False,0.8466,203.26804423332214,26.3777,27.2029,0.8251999999999988,-2.5277580911884234,Incomplete aspiration,
Viscosity_std_817,p1000,1000.0,17.9,2.4,0,0.7,4.6,0,True,False,0.8466,507.0984468460083,27.2029,28.0285,0.8256000000000014,-2.480510276399548,Incomplete aspiration,
Viscosity_std_817,p1000,1000.0,7.9,18.0,0,0.2,3.8,0,True,False,0.8466,196.43262934684753,28.0285,28.8597,0.831199999999999,-1.8190408693599065,within tolerance of 1000uL,
Viscosity_std_817,p1000,1000.0,7.9,18.0,0,0.2,3.8,0,True,False,0.8466,196.48151326179504,28.8597,29.6901,0.8304000000000009,-1.9135364989368182,within tolerance of 1000uL,
Viscosity_std_817,p1000,1000.0,9.5,9.6,0,5.8,2.1,0,True,False,0.8466,229.02022218704224,29.6901,30.5384,0.8482999999999983,0.2008032128511999,within tolerance of 1000uL,
