liquid,Viscosity 10 s-1,Viscosity 100 s-1,Viscosity 900 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_817,817,817,817,p1000,1000,25,12.5,0,3,3,0,1,0,134.7416174,-12.54429483,0.7404,0.8466,0
Viscosity_std_817,817,817,817,p1000,1000,12.5,6.25,0,3,3,0,1,0,262.2739,0.921332388,0.8544,0.8466,0
Viscosity_std_817,817,817,817,p1000,1000,13.92667452,8.346226519,0,1.919780591,3.785794657,0,1,0,211.2437,-0.460666194,0.8427,0.8466,1
Viscosity_std_817,817,817,817,p1000,1000,13.92667452,8.346226519,0,1.919780591,3.785794657,0,1,0,211.2787,-0.177179305,0.8451,0.8466,1
Viscosity_std_817,817,817,817,p1000,1000,13.92667452,8.346226519,0,1.919780591,3.785794657,0,1,0,211.3283,-0.31892275,0.8439,0.8466,1
Viscosity_std_817,817,817,817,p1000,1000,13.92667452,8.346226519,0,1.919780591,3.785794657,0,1,0,211.348,-0.212615167,0.8448,0.8466,1
Viscosity_std_817,817,817,817,p1000,1000,13.92667452,8.346226519,0,1.919780591,3.785794657,0,1,0,211.4115,2.409638554,0.867,0.8466,1
Viscosity_std_817,817,817,817,p1000,1000,13.92667452,8.346226519,0,1.919780591,3.785794657,0,1,0,211.4288,2.161587527,0.8649,0.8466,1
Viscosity_std_817,817,817,817,p1000,1000,20.39068004,6.86146523,0,4.13843251,5.577439685,0,1,0,211.7137,0.271674935,0.8489,0.8466,1
Viscosity_std_817,817,817,817,p1000,1000,20.39068004,6.86146523,0,4.13843251,5.577439685,0,1,0,211.7311,0.141743444,0.8478,0.8466,1
Viscosity_std_817,817,817,817,p1000,1000,20.39068004,6.86146523,0,4.13843251,5.577439685,0,1,0,211.7642,0.035435861,0.8469,0.8466,1
