liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.33911800384521,22.2407,23.0713,0.8306000000000004,-4.922161172161125,Incomplete aspiration,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.35536932945251,23.0713,23.9112,0.8399000000000001,-3.8576007326007273,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,11.5,7.3,0,4.2,3.6,0,True,False,0.8736,239.39710187911987,23.9112,24.75,0.8387999999999991,-3.9835164835165906,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.2262625694275,24.75,25.5541,0.8040999999999983,-7.955586080586284,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.25870537757874,25.5541,26.3588,0.8047000000000004,-7.886904761904718,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.28131318092346,26.3588,27.1582,0.7994000000000021,-8.493589743589506,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.114990234375,22.1012,22.9043,0.8031000000000006,-8.070054945054881,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.14603853225708,22.9043,23.7111,0.8067999999999991,-7.646520146520257,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.18029642105103,23.7111,24.5218,0.8107000000000006,-7.200091575091506,incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000.0,15.3,7.0,0,2.6,4.5,0,True,False,0.8736,226.2032072544098,24.5218,25.3324,0.8106000000000009,-7.211538461538367,incomplete aspiration and dispense,
