liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected,blow_out_state
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,22.0,11.0,0.0,3.0,3.0,0.0,1.0,0.0,149.3391342,-16.01419414,0.7337,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,20.0,11.0,0.0,3.0,3.0,0.0,1.0,0.0,153.9962201,-12.87774725,0.7611,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,16.0,11.0,0.0,3.0,3.0,0.0,1.0,0.0,165.906338,-11.13782051,0.7763,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,16.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,191.6476669,-16.90705128,0.7259,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,14.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,200.8774972,-9.603937729,0.7897,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,13.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,206.2330053,-8.161630037,0.8023,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,11.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,219.5589845,-6.181318681,0.8196,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,244.0876746,-4.532967033,0.834,0.8736,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,128.8894331,-9.134615385,0.3969,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,129.6728332,-9.134615385,0.3969,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,7.0,0.0,3.0,3.0,0.0,1.0,0.0,145.1909773,-6.181318681,0.4098,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,130.4895842,-11.85897436,0.385,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,500.0,9.0,5.0,0.0,3.0,3.0,0.0,1.0,0.0,181.3435276,-4.326923077,0.4179,0.4368,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,300.0,9.0,5.0,0.0,3.0,3.0,0.0,1.0,0.0,115.5135686,-6.326312576,0.2455,0.26208,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,300.0,9.0,4.0,0.0,3.0,3.0,0.0,1.0,0.0,131.4613929,-6.135531136,0.246,0.26208,0.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,5.666986374138508,6.845212553612125,0.0,2.0537755747359534,4.457892574708476,0.0,1.0,0.0,354.6777,-0.1717032967033032,0.8721,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.1778,-6.341575091575091,0.8182,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.2278,-5.883699633699633,0.8222,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.2307,-7.337454212454217,0.8095,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.2547,-7.074175824175832,0.8118,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.3023,-6.822344322344333,0.814,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.3422,-6.696428571428571,0.8151,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,15.300819329040612,6.99074902864526,0.0,2.621163976768905,4.509257962731809,0.0,1.0,0.0,226.1602,-5.883699633699633,0.8222,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,10.878307084460785,2.624756587673064,0.0,3.072618941584309,5.504961780735492,0.0,1.0,0.0,550.467,-1.030219780219781,0.8646,0.8736,1.0
Viscosity_std_1275,1275.0,1275.0,1275.0,p1000,1000.0,5.015603010944878,5.499834860788532,0.0,0.9244934510810804,0.4625188847896998,0.0,1.0,0.0,413.0368,-0.4807692307692414,0.8694,0.8736,1.0
