liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,66,64.3,0,0.9,3.3,0,True,False,0.8672,39.82670545578003,21.8791,22.6559,0.7767999999999979,-10.42435424354267,Incomplete aspiration,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,0.0,0.0,0,True,False,0.8672,35.22953534126282,22.6559,23.3087,0.6528000000000027,-24.72324723247201,Incomplete aspiration and dispense,
Viscosity_std_398.4,p1000,1000.0,63.9,65.4,0,5.7,0.3,0,True,False,0.8672,41.81484270095825,23.3087,24.0865,0.7777999999999992,-10.309040590405997,Incomplete aspiration and dispense,
Viscosity_std_398.4,p1000,1000.0,65.3,65.1,0,3.2,0.2,0,True,False,0.8672,39.03378200531006,24.0865,24.8383,0.7517999999999994,-13.307195571955791,Incomplete aspiration and dispense,
Viscosity_std_398.4,p1000,1000.0,65.8,64.1,0,3.3,0.2,0,True,False,0.8672,39.26720118522644,24.8383,25.5921,0.7537999999999982,-13.076568265682855,Incomplete aspiration and dispense,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,6.0,0.0,0,True,False,0.8672,41.35090160369873,25.5921,26.3556,0.7635000000000005,-11.958025830258242,Incomplete aspiration and dispense,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,6.0,0.0,0,True,False,0.8672,41.396379470825195,26.3556,27.1208,0.7652000000000001,-11.761992619926184,Incomplete aspiration and dispense,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,6.0,0.0,0,True,False,0.8672,41.41387152671814,27.1208,27.8853,0.7645000000000017,-11.842712177121568,Incomplete aspiration and dispense,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,0.0,3.8,0,True,False,0.8672,39.25610899925232,27.8853,28.6488,0.7635000000000005,-11.958025830258242,Incomplete aspiration and dispense,
Viscosity_std_398.4,p1000,1000.0,66,66.0,0,6.0,0.0,0,True,False,0.8672,41.47073149681091,28.6488,29.4144,0.7655999999999992,-11.71586715867168,Incomplete aspiration and dispense,
