liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.745848417282104,21.0735,21.9373,0.8638000000000012,-0.39206642066406105,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.4,40.6,0,5.2,2.6,0,True,False,0.8672,52.563864946365356,21.9373,22.8097,0.872399999999999,0.5996309963098458,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.14540123939514,22.8097,23.6574,0.8476999999999997,-2.2486162361623956,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.18796730041504,23.6574,24.5058,0.8484000000000016,-2.167896678966602,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.18492388725281,24.5058,25.3551,0.8492999999999995,-2.0641143911439657,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,66.0,39.2,0,5.9,0.9,0,True,False,0.8672,52.76830339431763,25.3551,26.2018,0.8466999999999985,-2.363929889299068,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.271599531173706,26.2018,27.0522,0.8504000000000005,-1.9372693726936674,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.9,51.8,0,5.6,4.8,0,True,False,0.8672,50.03896951675415,27.0522,27.936,0.8838000000000008,1.9142066420665171,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,50.4,60.7,0,5.7,4.8,0,True,False,0.8672,52.062562704086304,27.936,28.8181,0.8821000000000012,1.718173431734461,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.5,65.2,0,3.6,5.8,0,True,False,0.8672,45.240946531295776,28.8181,29.6908,0.8726999999999983,0.6342250922507247,Within tolerance of 1000uL,
