liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.80347943305969,21.8966,22.7505,0.8538999999999994,-1.5336715867159287,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.84975051879883,22.7505,23.6048,0.8543000000000021,-1.487546125461014,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.87448978424072,23.6048,24.4598,0.8550000000000004,-1.40682656826563,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.91967153549194,24.4598,25.315,0.8552,-1.3837638376383776,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.935508012771606,25.315,26.1704,0.8553999999999995,-1.360701107011125,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,62.976218700408936,26.1704,27.0255,0.8551000000000002,-1.3952952029520038,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.01283597946167,27.0255,27.881,0.8554999999999993,-1.3491697416974988,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.07331109046936,27.881,28.7365,0.8554999999999993,-1.3491697416974988,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.14172720909119,28.7365,29.6047,0.8682000000000016,0.11531365313672351,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.15897059440613,29.6047,30.4724,0.8676999999999992,0.05765682656818252,Within tolerance of 1000uL,
