liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_398.4,p1000,1000.0,50.5,51.7,0,1.6,2.7,0,True,False,0.8672,48.599961042404175,21.4503,22.274,0.8237000000000023,-5.016143911438844,incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,65.6,47.5,0,5.5,3.9,0,True,False,0.8672,50.738142251968384,22.274,23.136,0.8619999999999983,-0.5996309963101532,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.239150524139404,23.136,23.9697,0.8337000000000003,-3.8630073800737597,Incomplete dispense,
Viscosity_std_398.4,p1000,1000.0,66.0,66.0,0,5.7,5.5,0,True,False,0.8672,46.63750147819519,23.9697,24.8423,0.872600000000002,0.622693726937508,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,34.6,47.3,0,4.3,2.9,0,True,False,0.8672,63.059277296066284,24.8423,25.7027,0.8603999999999985,-0.7841328413285831,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.8,33.2,0,5.8,6.0,0,True,False,0.8672,62.587416887283325,25.7027,26.5878,0.8851000000000013,2.0641143911440683,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.7,65.8,0,5.9,5.2,0,True,False,0.8672,46.61690068244934,26.5878,27.453,0.865199999999998,-0.2306273062732934,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,61.8,65.8,0,5.7,4.9,0,True,False,0.8672,47.17640948295593,27.453,28.3192,0.8661999999999992,-0.11531365313662109,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,65.7,65.8,0,5.9,5.2,0,True,False,0.8672,46.67341709136963,28.3192,29.1822,0.8630000000000031,-0.4843173431730711,Within tolerance of 1000uL,
Viscosity_std_398.4,p1000,1000.0,63.3,65.3,0,5.9,5.0,0,True,False,0.8672,47.31181859970093,29.1822,30.0423,0.8600999999999992,-0.8187269372694619,Within tolerance of 1000uL,
